Ticker,First_News_Date,Last_News_Date,Articles,Trading_Days,Days_With_News,Days_Without_News,Coverage_Percentage
RELIANCE.NS,N/A,N/A,0,22,0,22,0.0
ITC.NS,2025-01-02,2025-01-30,41,22,14,8,63.64
