gkg_record_id,headline,source,url,reason
20240426074500-T185,"&#x906;&#x908;&#x938;&#x940;&#x906;&#x908;&#x938;&#x940;&#x906;&#x908; &#x92C;&#x948;&#x902;&#x915; &#x915;&#x947; 17 &#x939;&#x91C;&#x93E;&#x930; &#x92F;&#x942;&#x91C;&#x930;&#x94B;&#x902; &#x915;&#x93E; &#x915;&#x94D;&#x930;&#x947;&#x921;&#x93F;&#x91F; &#x915;&#x93E;&#x930;&#x94D;&#x921; &#x921;&#x947;&#x91F;&#x93E; &#x932;&#x940;&#x915;; &#x92C;&#x948;&#x902;&#x915; &#x928;&#x947; &#x915;&#x93E;&#x930;&#x94D;&#x921; &#x92C;&#x94D;&#x932;&#x949;&#x915; &#x915;&#x93F;&#x90F;, &#x92E;&#x941;&#x906;&#x935;&#x91C;&#x947; &#x915;&#x93E; &#x926;&#x93F;&#x92F;&#x93E; &#x906;&#x936;&#x94D;&#x935;&#x93E;&#x938;&#x928;<br>",khaskhabar.com,https://www.business.khaskhabar.com/daily-news.php/credit-card-data-of-17-thousand-users-of-icici-bank-leaked-bank-blocked-cards-assured-compensation-634419-BKN.html,Filtered by BigQueryGKGExtractor
20240426074500-T521,ICICI Credit Cards: 17 &#xC35;&#xC47;&#xC32; &#xC10;&#xC38;&#xC40;&#xC10;&#xC38;&#xC40;&#xC10; &#xC15;&#xC4D;&#xC30;&#xC46;&#xC21;&#xC3F;&#xC1F;&#xC4D;&#x200C; &#xC15;&#xC3E;&#xC30;&#xC4D;&#xC21;&#xC41;&#xC32;&#xC41; &#xC2C;&#xC4D;&#xC32;&#xC3E;&#xC15;&#xC4D;&#x200C;.. &#xC15;&#xC3E;&#xC30;&#xC23;&#xC2E;&#xC3F;&#xC26;&#xC47;,eenadu.net,https://www.eenadu.net/telugu-news/business/about-17k-icici-bank-credit-cards-blocked/0101/124080175,Filtered by BigQueryGKGExtractor
20240426111500-73,Buy IndusInd Bank; target of Rs 2000: ICICI Securities,moneycontrol.com,https://www.moneycontrol.com/news/business/buy-indusind-bank-target-of-rs-2000-icici-securities-2-12709032.html,Filtered by BigQueryGKGExtractor
20240426113000-T1326,"&#x906;&#x908;&#x938;&#x940;&#x906;&#x908;&#x938;&#x940;&#x906;&#x908; &#x92C;&#x948;&#x902;&#x915; &#x915;&#x947; 17 &#x939;&#x91C;&#x93E;&#x930; &#x92F;&#x942;&#x91C;&#x930;&#x94B;&#x902; &#x915;&#x93E; &#x915;&#x94D;&#x930;&#x947;&#x921;&#x93F;&#x91F; &#x915;&#x93E;&#x930;&#x94D;&#x921; &#x921;&#x947;&#x91F;&#x93E; &#x932;&#x940;&#x915;; &#x92C;&#x948;&#x902;&#x915; &#x928;&#x947; &#x915;&#x93E;&#x930;&#x94D;&#x921; &#x92C;&#x94D;&#x932;&#x949;&#x915; &#x915;&#x93F;&#x90F;, &#x92E;&#x941;&#x906;&#x935;&#x91C;&#x947; &#x915;&#x93E; &#x926;&#x93F;&#x92F;&#x93E; &#x906;&#x936;&#x94D;&#x935;&#x93E;&#x938;&#x928;<br>",khaskhabar.com,https://www.business.khaskhabar.com/business-news/credit-card-data-of-17-thousand-users-of-icici-bank-leaked-bank-blocked-cards-assured-compensation-634419-BKN.html,Filtered by BigQueryGKGExtractor
20240426121500-94,"17,000 ICICI Credit Cards Blocked",deccanchronicle.com,https://www.deccanchronicle.com/nation/icici-bank-blocks-17000-credit-cards-891215,Filtered by BigQueryGKGExtractor
20240427190000-T1573,&#x906;&#x908;&#x938;&#x940;&#x906;&#x908;&#x938;&#x940;&#x906;&#x908; &#x92C;&#x948;&#x902;&#x915; &#x915;&#x93E; &#x92E;&#x941;&#x928;&#x93E;&#x92B;&#x93E; 17 &#x92A;&#x94D;&#x930;&#x924;&#x93F;&#x936;&#x924; &#x92C;&#x922;&#x93C;&#x93E;,navabharat.com,https://navabharat.com/?p=17512,Filtered by BigQueryGKGExtractor
20240428030000-571,MC Exclusive: Minority shareholders file class action suit against  ICICI Securities on delisting concerns,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/minority-shareholders-file-class-action-suit-against-icici-securities-on-delisting-concerns-12709708.html,Filtered by BigQueryGKGExtractor
20240428051500-395,ICICI Securities merger: ICICI Securities: Shareholders approach NCLT over ICICI Bank's brokerage arm's delisting plan,indiatimes.com,https://economictimes.indiatimes.com/news/company/corporate-trends/icici-securities-shareholders-approach-nclt-over-icici-banks-brokerage-arms-delisting-plan/articleshow/109660164.cms,Filtered by BigQueryGKGExtractor
20240428064500-T1038,"ICICI &#x915;&#x947; &#x916;&#x93F;&#x932;&#x93E;&#x92B; NCLT &#x92E;&#x947;&#x902; &#x92A;&#x939;&#x941;&#x902;&#x91A;&#x947; &#x936;&#x947;&#x92F;&#x930;&#x939;&#x94B;&#x932;&#x94D;&#x921;&#x930;&#x94D;&#x938;, &#x91C;&#x93E;&#x928;&#x93F;&#x90F; &#x915;&#x94D;&#x92F;&#x93E; &#x939;&#x948; &#x92E;&#x93E;&#x92E;&#x932;&#x93E;",indiatimes.com,https://navbharattimes.indiatimes.com/business/business-news/shareholders-approach-nclt-over-icici-banks-brokerage-arms-delisting-plan/articleshow/109661076.cms,Filtered by BigQueryGKGExtractor
20240428070000-430,Shareholders of ICICI Securities lodge lawsuit with NCLT over delisting proposal,livemint.com,https://www.livemint.com/companies/shareholders-of-icici-securities-lodge-lawsuit-with-nclt-over-delisting-proposal-report-11714283574360.html,Filtered by BigQueryGKGExtractor
20240428074500-66,Minority shareholders file lawsuit against ICICI Securities on delisting concerns: Report,businesstoday.in,https://www.businesstoday.in/latest/corporate/story/minority-shareholders-file-lawsuit-against-icici-securities-on-delisting-concerns-report-427240-2024-04-28,Filtered by BigQueryGKGExtractor
20240428081500-T1990,"ICICI Securities &#x92A;&#x930; &#x92E;&#x93E;&#x907;&#x928;&#x949;&#x930;&#x93F;&#x91F;&#x940; &#x936;&#x947;&#x92F;&#x930;&#x939;&#x94B;&#x932;&#x94D;&#x921;&#x930;&#x94D;&#x938; &#x928;&#x947; &#x915;&#x93F;&#x92F;&#x93E; &#x92E;&#x941;&#x915;&#x926;&#x92E;&#x93E;, &#x921;&#x940;&#x932;&#x93F;&#x938;&#x94D;&#x91F;&#x93F;&#x902;&#x917; &#x92A;&#x94D;&#x932;&#x93E;&#x928; &#x938;&#x947; &#x91C;&#x941;&#x921;&#x93C;&#x93E; &#x939;&#x948; &#x92E;&#x93E;&#x92E;&#x932;&#x93E;",moneycontrol.com,https://hindi.moneycontrol.com/news/markets/a-group-of-minority-shareholders-filed-a-class-action-suit-with-the-nclt-against-icici-securities-on-the-delisting-plan-1897596.html,Filtered by BigQueryGKGExtractor
20240429000000-294,Minority shareholders file suit against ICICI Securities over delisting plan,financialexpress.com,https://www.financialexpress.com/business/industry-minority-shareholders-file-suit-against-icici-securities-over-delisting-plan-3470880/,Filtered by BigQueryGKGExtractor
20240429014500-740,ICICI Securities: I-Sec's minority investors file suit challenging delisting process,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/i-secs-minority-investors-file-suit-challenging-delisting-process/articleshow/109675385.cms,Filtered by BigQueryGKGExtractor
20240429014500-762,"Stocks in news: Stocks in news: ICICI Securities, ICICI Bank, YES Bank, Ultratech Cement, HCL Tech",indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-icici-securities-icici-bank-yes-bank-ultratech-cement-hcl-tech/articleshow/109675355.cms,Filtered by BigQueryGKGExtractor
20240429070000-623,ICICI Pru Life Share Price: ICICI Pru Life shares  down  1.03% as Nifty  gains,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/icici-pru-life-shares-down-1-03-as-nifty-gains/articleshow/109683026.cms,Filtered by BigQueryGKGExtractor
20240429070000-839,"Rupee is likely to depreciate today : April 26, 2024: ICICI Direct",moneycontrol.com,https://www.moneycontrol.com/news/currency/rupee-is-likely-to-depreciate-today-april-26-2024-icici-direct-2-12710439.html,Filtered by BigQueryGKGExtractor
20240429083000-605,ICICI Lombard Share Price: Shares of ICICI Lombard  rise  as Nifty  gains,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/shares-of-icici-lombard-rise-as-nifty-gains/articleshow/109685741.cms,Filtered by BigQueryGKGExtractor
20240429091500-265,"ICICI Securities starts coverage on Mamaearth parent with 'buy' call, 28% upside",moneycontrol.com,https://www.moneycontrol.com/news/business/markets/icici-securities-starts-coverage-on-mamaearth-parent-with-buy-call-28-upside-12710526.html,Filtered by BigQueryGKGExtractor
