gkg_record_id,date,source,url,headline,pipeline_stage,matcher_decision,trading_date,ist_dt,canonical_url
20240409193000-1616,20240409193000,business-standard.com,https://www.business-standard.com/markets/news/private-equity-company-bain-capital-sells-residual-stake-in-axis-bank-124040901151_1.html,Private equity company Bain Capital sells residual stake in Axis Bank,ACCEPTED,True,2024-04-10,2024-04-10 01:00:00+05:30,https://www.business-standard.com/markets/news/private-equity-company-bain-capital-sells-residual-stake-in-axis-bank-124040901151_1.html
20240410020000-1007,20240410020000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-axis-bank-paytm-abfrl-icici-pru-life-shivalik-rasayan/articleshow/109177643.cms,"Stocks in news: Stocks in news: Axis Bank, Paytm, ABFRL, ICICI Pru Life, Shivalik Rasayan",ACCEPTED,True,2024-04-10,2024-04-10 07:30:00+05:30,https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-axis-bank-paytm-abfrl-icici-pru-life-shivalik-rasayan/articleshow/109177643.cms
20240410044500-83,20240410044500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/recos/buy-axis-bank-target-price-rs-1250-prabhudas-lilladher/articleshow/109180147.cms,"Axis Bank stocks: Buy Axis Bank, target price Rs 1250: Prabhudas Lilladher",ACCEPTED,True,2024-04-10,2024-04-10 10:15:00+05:30,https://economictimes.indiatimes.com/markets/stocks/recos/buy-axis-bank-target-price-rs-1250-prabhudas-lilladher/articleshow/109180147.cms
20240410050000-574,20240410050000,india.com,https://www.india.com/business/top-10-stocks-to-buy-for-today-10-04-24-paytm-vedanta-axis-bank-irb-infra-know-best-shares-bets-by-market-experts-6848772/,"Top 10 Stocks To Buy For Today (10-04-24); Paytm, Vedanta, Axis Bank; Know Best Shares Bets By Market Experts",ACCEPTED,True,2024-04-10,2024-04-10 10:30:00+05:30,https://www.india.com/business/top-10-stocks-to-buy-for-today-10-04-24-paytm-vedanta-axis-bank-irb-infra-know-best-shares-bets-by-market-experts-6848772
20240410074500-700,20240410074500,businesstoday.in,https://www.businesstoday.in/markets/company-stock/story/canara-bank-axis-bank-what-gaurang-shah-of-geojit-financial-says-on-these-2-banking-stocks-424988-2024-04-10,Canara Bank & Axis Bank: What Gaurang Shah of Geojit Financial says on these 2 banking stocks,ACCEPTED,True,2024-04-10,2024-04-10 13:15:00+05:30,https://www.businesstoday.in/markets/company-stock/story/canara-bank-axis-bank-what-gaurang-shah-of-geojit-financial-says-on-these-2-banking-stocks-424988-2024-04-10
20240410081500-595,20240410081500,telegraphindia.com,https://www.telegraphindia.com/business/bain-capital-sells-entire-stake-in-axis-bank-for-nearly-rs-3594-crore/cid/2012366,"Axis Bank | Bain Capital sells entire stake in Axis Bank for nearly Rs 3,594 crore",ACCEPTED,True,2024-04-10,2024-04-10 13:45:00+05:30,https://www.telegraphindia.com/business/bain-capital-sells-entire-stake-in-axis-bank-for-nearly-rs-3594-crore/cid/2012366
20240410081500-1212,20240410081500,telegraphindia.com,https://www.telegraphindia.com/feeds/business/bain-capital-sells-entire-stake-in-axis-bank-for-nearly-rs-3594-crore/cid/2012366,"Axis Bank | Bain Capital sells entire stake in Axis Bank for nearly Rs 3,594 crore",ACCEPTED,True,2024-04-10,2024-04-10 13:45:00+05:30,https://www.telegraphindia.com/feeds/business/bain-capital-sells-entire-stake-in-axis-bank-for-nearly-rs-3594-crore/cid/2012366
20240410110000-149,20240410110000,indiatimes.com,https://economictimes.indiatimes.com/wealth/spend/rupay-credit-cards-of-hdfc-bank-axis-bank-idfc-first-bank-sbi-card-cashback-annual-fee-discounts/articleshow/109194130.cms,"RuPay credit cards of HDFC Bank, Axis Bank, IDFC FIRST Bank, SBI Card: Cashback, annual fee, discounts",ACCEPTED,True,2024-04-12,2024-04-10 16:30:00+05:30,https://economictimes.indiatimes.com/wealth/spend/rupay-credit-cards-of-hdfc-bank-axis-bank-idfc-first-bank-sbi-card-cashback-annual-fee-discounts/articleshow/109194130.cms
20240411093000-1052,20240411093000,india.com,https://www.india.com/business/which-are-best-rupay-credit-cards-know-hdfc-bank-axis-bank-idfc-first-bank-sbi-card-features-cashback-offers-annual-fee-discounts-6852108/,"Which Are Best RuPay Credit Cards? Know HDFC Bank, Axis Bank, IDFC FIRST Bank, SBI Card Features, Cashback Offers, Annual Fee & Discounts",ACCEPTED,True,2024-04-12,2024-04-11 15:00:00+05:30,https://www.india.com/business/which-are-best-rupay-credit-cards-know-hdfc-bank-axis-bank-idfc-first-bank-sbi-card-features-cashback-offers-annual-fee-discounts-6852108
20240416110000-619,20240416110000,orissadiary.com,https://orissadiary.com/axis-bank-expands-its-omni-channel-shopping-segment-through-its-credit-card-partnership-with-shoppers-stop/,Axis Bank expands its omni-channel shopping segment through its Credit Card partnership with Shoppers Stop,ACCEPTED,True,2024-04-18,2024-04-16 16:30:00+05:30,https://orissadiary.com/axis-bank-expands-its-omni-channel-shopping-segment-through-its-credit-card-partnership-with-shoppers-stop
