record_id,stage,page_title,url,source,DATE,reason
20240401023000-473,entity_matcher_rejected,Constituency watch: The rise of Gandhinagar as a financial hub,https://www.moneycontrol.com/elections/lok-sabha-election/constituency-watch-the-rise-of-gandhinagar-as-a-financial-hub-article-12544091.html,moneycontrol.com,20240401023000,Entity matcher rejected (no positive signal or matched exclusion)
20240401040000-789,entity_matcher_rejected,"Expect to receive Rs 6,329 cr tax refund: Infosys",https://www.navhindtimes.in/2024/04/01/nationalnews/expect-to-receive-rs-6329-cr-tax-refund-infosys/,navhindtimes.in,20240401040000,Entity matcher rejected (no positive signal or matched exclusion)
20240401051500-324,entity_matcher_rejected,Narayana Murthy's Infosys to get Rs 63290000000 from Income Tax Department,https://www.dnaindia.com/business/report-narayana-murthy-s-infosys-to-get-rs-63290000000-from-income-tax-department-3083600,dnaindia.com,20240401051500,Entity matcher rejected (no positive signal or matched exclusion)
20240401053000-407,entity_matcher_rejected,"Infosys To Receive Rs 6,329 Cr Tax Refund From IT Dept",https://www.news18.com/business/infosys-to-receive-rs-6329-cr-tax-refund-from-it-dept-8835241.html,news18.com,20240401053000,Entity matcher rejected (no positive signal or matched exclusion)
20240401071500-633,entity_matcher_rejected,"Fortune India: Business News, Strategy, Finance and Corporate Insight",https://www.fortuneindia.com/long-reads/managing-inter-generational-workforce/116287,fortuneindia.com,20240401071500,Entity matcher rejected (no positive signal or matched exclusion)
20240401080000-302,entity_matcher_rejected,"Stocks to Monitor: Infosys, India Cements, HDFC Bank, HAL, BOI, IOCL, Zomato",https://www.siliconindia.com/news/general/stocks-to-monitor-infosys-india-cements-hdfc-bank-hal-boi-iocl-zomato-nid-228742-cid-1.html,siliconindia.com,20240401080000,Entity matcher rejected (no positive signal or matched exclusion)
20240401111500-306,entity_matcher_rejected,Optimism on Persistent Systems put to test after a robust run,https://www.livemint.com/market/mark-to-market/optimism-on-persistent-systems-put-to-test-after-a-robust-run-11711965663824.html,livemint.com,20240401111500,Entity matcher rejected (no positive signal or matched exclusion)
20240401114500-570,entity_matcher_rejected,Indices: Stock market update: Nifty IT index advances 0.41%,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-it-index-advances-0-41/articleshow/108945320.cms,indiatimes.com,20240401114500,Entity matcher rejected (no positive signal or matched exclusion)
20240401120000-T1264,entity_matcher_rejected,"Infosys-TCS पर ब्रोकरेज ने खेला तगड़ा दांव, बताई ये तीन अहम वजह",https://hindi.moneycontrol.com/news/markets/it-stocks-infosys-tcs-are-analysts-top-picks-based-on-three-factors-1882181.html,moneycontrol.com,20240401120000,Entity matcher rejected (no positive signal or matched exclusion)
20240401140000-892,entity_matcher_rejected,"Govt e-marketplace GeM onboards over 2 m sellers, records Rs4-cr turnover",https://www.domain-b.com/economy/government-1/govt-e-marketplace-gem-onboards-over-2-m-sellers-records-rs4-cr-turnover,domain-b.com,20240401140000,Entity matcher rejected (no positive signal or matched exclusion)
20240401141500-554,entity_matcher_rejected,Empowering Indian Army's Communication: TCS Prototype Initiative Takes Shape - Defence News,https://www.financialexpress.com/business/defence-empowering-indian-armys-communication-tcs-prototype-initiative-takes-shape-3443210/,financialexpress.com,20240401141500,Entity matcher rejected (no positive signal or matched exclusion)
20240401174500-1074,entity_matcher_rejected,Fired Americans Say Indian Firm Gave Their Jobs to H-1B Visa Holders - American Renaissance,https://www.amren.com/news/2024/03/fired-americans-say-indian-firm-gave-their-jobs-to-h-1b-visa-holders/,amren.com,20240401174500,Entity matcher rejected (no positive signal or matched exclusion)
20240401183000-603,entity_matcher_rejected,Intelligent Process Automation Market to move forward at a double-digit CAGR by 2030,https://www.briefingwire.com/pr/intelligent-process-automation-market-to-move-forward-at-a-double-digit-cagr-by-2030,briefingwire.com,20240401183000,Entity matcher rejected (no positive signal or matched exclusion)
20240401200000-671,entity_matcher_rejected,Global Telecom Service Assurance Market to Reach $10.14,https://www.globenewswire.com/news-release/2024/04/01/2855392/0/en/Global-Telecom-Service-Assurance-Market-to-Reach-10-14-Billion-by-2028-with-a-CAGR-of-8-65.html,globenewswire.com,20240401200000,Entity matcher rejected (no positive signal or matched exclusion)
20240401201500-2107,entity_matcher_rejected,YourStory | Stories about startups & entrepreneurships,https://social.yourstory.com:443/enterprise-story/2024/04/infosys-gets-tax-demand-it-department-cyber-threats,yourstory.com,20240401201500,Entity matcher rejected (no positive signal or matched exclusion)
20240401210000-577,entity_matcher_rejected,YourStory | Stories about startups & entrepreneurships,https://her.yourstory.com:443/enterprise-story/2024/04/infosys-gets-tax-demand-it-department-cyber-threats,yourstory.com,20240401210000,Entity matcher rejected (no positive signal or matched exclusion)
20240401210000-1502,entity_matcher_rejected,YourStory | Stories about startups & entrepreneurships,https://yourstory.com:443/enterprise-story/2024/04/infosys-gets-tax-demand-it-department-cyber-threats,yourstory.com,20240401210000,Entity matcher rejected (no positive signal or matched exclusion)
20240402003000-T917,entity_matcher_rejected,गोखले ब्रिज ते बर्फीवाला पूल तीन महिने वेटिंगवर,http://www.saamana.com/gokhale-bridge-and-burfiwala-bridge-three-months-waiting-saamana-online-news/,saamana.com,20240402003000,Entity matcher rejected (no positive signal or matched exclusion)
20240402023000-11,entity_matcher_rejected,How to Prepare for a Workforce Transformed by AI,https://news.northeastern.edu/2024/03/29/artificial-intelligence-workplace/,northeastern.edu,20240402023000,Entity matcher rejected (no positive signal or matched exclusion)
20240402053000-873,entity_matcher_rejected,Stock Market Sectors: Stock market update: FMCG stocks up as market falls,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fmcg-stocks-up-as-market-falls/articleshow/108962863.cms,indiatimes.com,20240402053000,Entity matcher rejected (no positive signal or matched exclusion)
20240402054500-1295,entity_matcher_rejected,"Markets fall in early trade on profit-taking, foreign fund outflows",https://www.siasat.com/markets-fall-in-early-trade-on-profit-taking-foreign-fund-outflows-3002395/,siasat.com,20240402054500,Entity matcher rejected (no positive signal or matched exclusion)
20240402054500-1265,entity_matcher_rejected,"Markets fall in early trade on profit-taking, foreign fund outflows",https://www.thehindu.com/business/markets/markets-fall-in-early-trade-on-profit-taking-foreign-fund-outflows/article68018733.ece,thehindu.com,20240402054500,Entity matcher rejected (no positive signal or matched exclusion)
20240402060000-793,entity_matcher_rejected,Stock Market Sectors: Stock market update: Fertilisers stocks up as market falls,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-falls/articleshow/108963421.cms,indiatimes.com,20240402060000,Entity matcher rejected (no positive signal or matched exclusion)
20240402060000-998,entity_matcher_rejected,Stock Market Sectors: Stock market update: Power stocks up as market falls,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-falls/articleshow/108963535.cms,indiatimes.com,20240402060000,Entity matcher rejected (no positive signal or matched exclusion)
20240402060000-838,entity_matcher_rejected,"Markets fall in early trade on profit-making, foreign fund outflows",https://www.theweek.in/news/biz-tech/2024/04/02/markets-fall-in-early-trade-on-profit-making-foreign-fund-outflows.html,theweek.in,20240402060000,Entity matcher rejected (no positive signal or matched exclusion)
20240402070000-768,entity_matcher_rejected,"Stock market | Markets fall in early trade on profit-taking, foreign fund outflows",https://www.telegraphindia.com/feeds/business/markets-fall-in-early-trade-on-profit-taking-foreign-fund-outflows/cid/2010609,telegraphindia.com,20240402070000,Entity matcher rejected (no positive signal or matched exclusion)
20240402074500-158,entity_matcher_rejected,"Markets fall in early trade on profit-taking, foreign fund outflows",https://www.dailypioneer.com/2024/business/markets-fall-in-early-trade-on-profit-taking--foreign-fund-outflows.html,dailypioneer.com,20240402074500,Entity matcher rejected (no positive signal or matched exclusion)
20240402084500-900,entity_matcher_rejected,Tech Mahindra's big push for growth: Will new CEO & MD Mohit Joshi's strategy work?,https://www.businesstoday.in/interactive/photo-essay/tech-mahindra-s-big-push-for-growth-will-new-ceo-md-mohit-joshi-s-strategy-work-201-01-04-2024,businesstoday.in,20240402084500,Entity matcher rejected (no positive signal or matched exclusion)
20240402090000-268,entity_matcher_rejected,Generative AI in Banking and Finance Market at a CAGR of 33% with,https://www.openpr.com/news/3448890/generative-ai-in-banking-and-finance-market-at-a-cagr-of-33-with,openpr.com,20240402090000,Entity matcher rejected (no positive signal or matched exclusion)
20240402100000-621,entity_matcher_rejected,"Stock market | Markets fall in early trade on profit-taking, foreign fund outflows",https://www.telegraphindia.com/business/markets-fall-in-early-trade-on-profit-taking-foreign-fund-outflows/cid/2010609,telegraphindia.com,20240402100000,Entity matcher rejected (no positive signal or matched exclusion)
20240402110000-1109,entity_matcher_rejected,"Stock markets snap three-day winning run; Sensex down 110 pts on profit-taking, foreign fund outflows",https://www.orissapost.com/stock-markets-snap-three-day-winning-run-sensex-down-110-pts-on-profit-taking-foreign-fund-outflows/,orissapost.com,20240402110000,Entity matcher rejected (no positive signal or matched exclusion)
20240402114500-903,entity_matcher_rejected,TCS London Marathon 2024: Sue Ryder St John's Hospice fundraising,https://www.huntspost.co.uk/news/24224004.tcs-london-marathon-2024-sue-ryder-st-johns-hospice-fundraising/,huntspost.co.uk,20240402114500,Entity matcher rejected (no positive signal or matched exclusion)
20240402120000-15,entity_matcher_rejected,Poor Nations Are Writing a New Handbook for Getting Rich,https://www.yahoo.com/news/poor-nations-writing-handbook-getting-112146517.html,yahoo.com,20240402120000,Entity matcher rejected (no positive signal or matched exclusion)
