gkg_record_id,headline,source,url,reason
20240401013000-T443,"Business News Update; Value of 7 out of top-10 companies increased by &#x20B9;67,260 crore | &#x91F;&#x949;&#x92A;-10 &#x915;&#x902;&#x92A;&#x928;&#x93F;&#x92F;&#x94B;&#x902; &#x92E;&#x947;&#x902; &#x938;&#x947; 7 &#x915;&#x940; &#x935;&#x948;&#x932;&#x94D;&#x92F;&#x942; &#x20B9;67,260 &#x915;&#x930;&#x94B;&#x921;&#x93C; &#x92C;&#x922;&#x93C;&#x940;: &#x930;&#x93F;&#x932;&#x93E;&#x92F;&#x902;&#x938; &#x915;&#x93E; &#x92E;&#x930;&#x94D;&#x915;&#x947;&#x91F; &#x915;&#x948;&#x92A; &#x20B9;45,263 &#x915;&#x930;&#x94B;&#x921;&#x93C; &#x92C;&#x922;&#x93C;&#x93E;, &#x91C;&#x94B;&#x92E;&#x948;&#x91F;&#x94B; &#x915;&#x94B; &#x20B9;23.26 &#x915;&#x930;&#x94B;&#x921;&#x93C; &#x915;&#x93E; GST &#x928;&#x94B;&#x91F;&#x93F;&#x938;",bhaskar.com,https://www.bhaskar.com/business/news/business-news-update-value-of-7-out-of-top-10-companies-increased-by-67260-crore-132805647.html,Filtered by BigQueryGKGExtractor
20240401021500-615,Stock Market Today: Top 10 things to know before the market opens,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/stock-market-today-top-10-things-to-know-before-the-market-opens-262-12545731.html,Filtered by BigQueryGKGExtractor
20240401021500-212,"Stock Market Live Updates: Sensex, Nifty hope to build on FY24's strong finish, eyes on RBI MPC meet",thehindubusinessline.com,https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-1st-april-2024/article68012792.ece,Filtered by BigQueryGKGExtractor
20240401021500-T986,"Success Story: &#x915;&#x92D;&#x940; &#x907;&#x902;&#x92B;&#x94B;&#x938;&#x93F;&#x938; &#x915;&#x947; &#x926;&#x92B;&#x94D;&#x924;&#x930; &#x92E;&#x947;&#x902; &#x915;&#x930;&#x924;&#x947; &#x925;&#x947; &#x91D;&#x93E;&#x921;&#x93C;&#x942;-&#x92A;&#x94B;&#x91B;&#x947; &#x915;&#x93E; &#x915;&#x93E;&#x92E;, &#x906;&#x91C; &#x926;&#x94B; &#x915;&#x902;&#x92A;&#x928;&#x93F;&#x92F;&#x94B;&#x902; &#x915;&#x947; &#x939;&#x948;&#x902; &#x92E;&#x93E;&#x932;&#x93F;&#x915;, &#x910;&#x938;&#x947; &#x92C;&#x926;&#x932;&#x940; &#x915;&#x93F;&#x938;&#x94D;&#x92E;&#x924;",indiatimes.com,https://navbharattimes.indiatimes.com/business/business-news/success-story-of-infosys-peon-dada-saheb-bhagat-who-established-two-companies/articleshow/108923957.cms,Filtered by BigQueryGKGExtractor
20240401023000-473,Constituency watch: The rise of Gandhinagar as a financial hub,moneycontrol.com,https://www.moneycontrol.com/elections/lok-sabha-election/constituency-watch-the-rise-of-gandhinagar-as-a-financial-hub-article-12544091.html,Filtered by BigQueryGKGExtractor
20240401040000-177,"Stocks that will see action today: April 1, 2024 - The Hindu BusinessLine",thehindubusinessline.com,https://www.thehindubusinessline.com/markets/stocks-that-will-see-action-today-april-1-2024/article68013793.ece,Filtered by BigQueryGKGExtractor
20240401041500-582,'Semiconductor sector expected to generate 1L jobs',dailypioneer.com,https://www.dailypioneer.com/2024/state-editions/---semiconductor-sector-expected-to-generate-1l-jobs---.html,Filtered by BigQueryGKGExtractor
20240401043000-T838,"&#x915;&#x93E;&#x930;&#x94B;&#x92C;&#x93E;&#x930;&#x940; &#x938;&#x92A;&#x94D;&#x924;&#x93E;&#x939; &#x915;&#x947; &#x92A;&#x939;&#x932;&#x947; &#x926;&#x93F;&#x928; &#x924;&#x947;&#x91C;&#x940; &#x915;&#x947; &#x938;&#x93E;&#x925; &#x916;&#x941;&#x932;&#x93E; &#x936;&#x947;&#x92F;&#x930; &#x92C;&#x93E;&#x91C;&#x93E;&#x930;, &#x938;&#x947;&#x902;&#x938;&#x947;&#x915;&#x94D;&#x938; 500 &#x905;&#x902;&#x915; &#x90A;&#x92A;&#x930;, &#x928;&#x93F;&#x92B;&#x94D;&#x91F;&#x940; 22,483 &#x92A;&#x930;",punjabkesari.in,https://www.punjabkesari.in/national/news/stock-market-shoot-up-500-points-1960917,Filtered by BigQueryGKGExtractor
20240401044500-563,"Stock market today| Sensex, Nifty hit record high on first day of FY25: 3 key factors behind rally",hindustantimes.com,https://www.hindustantimes.com/business/stock-market-today-sensex-nifty-hit-record-high-on-first-day-of-fy25-3-key-factors-behind-rally-101711945364784.html,Filtered by BigQueryGKGExtractor
20240401050000-396,"Sensex, Nifty Climb In Early Trade; Metal Stocks Outperform On China Data",businessinsider.com,https://markets.businessinsider.com/news/stocks/sensex-nifty-climb-in-early-trade-metal-stocks-outperform-on-china-data-1033210063,Filtered by BigQueryGKGExtractor
