gkg_record_id,date,source,url,headline,pipeline_stage,matcher_decision,trading_date,ist_dt,canonical_url
20240418123000-1033,20240418123000,marketscreener.com,https://www.marketscreener.com/quote/stock/BSE-LIMITED-33930062/news/BSE-Listing-of-new-Commercial-Paper-of-Bajaj-Finance-Limited-46468300/,BSE : Listing of new Commercial Paper of Bajaj Finance Limited,ACCEPTED,True,2024-04-19,2024-04-18 18:00:00+05:30,https://www.marketscreener.com/quote/stock/BSE-LIMITED-33930062/news/BSE-Listing-of-new-Commercial-Paper-of-Bajaj-Finance-Limited-46468300
20240418160000-189,20240418160000,moneycontrol.com,https://www.moneycontrol.com/news/trends/flexible-tenures-payout-options-how-bajaj-finance-fd-cater-to-your-needs-2-12670901.html,Flexible Tenures & Payout Options: How Bajaj Finance FD Cater to Your Needs,ACCEPTED,True,2024-04-19,2024-04-18 21:30:00+05:30,https://www.moneycontrol.com/news/trends/flexible-tenures-payout-options-how-bajaj-finance-fd-cater-to-your-needs-2-12670901.html
20240419144500-1212,20240419144500,businesstoday.in,https://www.businesstoday.in/visualstories/stock/bajaj-finance-m-m-top-gainers-on-nifty50-as-market-rebounds-infosys-most-active-stock-on-april-19-130190-19-04-2024,"Bajaj Finance, M&M top gainers on Nifty50 as market rebounds; Infosys most active stock on April 19",ACCEPTED,True,2024-04-22,2024-04-19 20:15:00+05:30,https://www.businesstoday.in/visualstories/stock/bajaj-finance-m-m-top-gainers-on-nifty50-as-market-rebounds-infosys-most-active-stock-on-april-19-130190-19-04-2024
20240419144500-T1111,20240419144500,sangbadpratidin.in,https://www.sangbadpratidin.in/personal-finance/bajaj-finance-has-increased-interest-rates-on-fixed-deposits/,Bajaj Finance has increased interest rates on fixed deposits,ACCEPTED,True,2024-04-22,2024-04-19 20:15:00+05:30,https://www.sangbadpratidin.in/personal-finance/bajaj-finance-has-increased-interest-rates-on-fixed-deposits
20240419154500-911,20240419154500,thehindubusinessline.com,https://www.thehindubusinessline.com/portfolio/personal-finance/bajaj-finance-and-shriram-finance-revise-fd-rates-should-you-invest/article68083468.ece,Bajaj Finance and Shriram Finance revise FD rates: Should you invest?,ACCEPTED,True,2024-04-22,2024-04-19 21:15:00+05:30,https://www.thehindubusinessline.com/portfolio/personal-finance/bajaj-finance-and-shriram-finance-revise-fd-rates-should-you-invest/article68083468.ece
20240422084500-613,20240422084500,indiatimes.com,https://economictimes.indiatimes.com/markets/options/fo-stocks-bajaj-finance-canara-bank-among-5-stocks-with-long-buildup/articleshow/109496142.cms,"F&O stocks: Bajaj Finance, Canara Bank among 5 stocks with long buildup",ACCEPTED,True,2024-04-22,2024-04-22 14:15:00+05:30,https://economictimes.indiatimes.com/markets/options/fo-stocks-bajaj-finance-canara-bank-among-5-stocks-with-long-buildup/articleshow/109496142.cms
20240422110000-346,20240422110000,freepressjournal.in,https://www.freepressjournal.in/business/indices-end-day-on-a-positive-note-lt-bajaj-finance-among-major-gainers,"Indices End Day On a Positive Note; LT, Bajaj Finance Among Major Gainers",ACCEPTED,True,2024-04-23,2024-04-22 16:30:00+05:30,https://www.freepressjournal.in/business/indices-end-day-on-a-positive-note-lt-bajaj-finance-among-major-gainers
20240423043000-1187,20240423043000,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/ubs-issues-sell-on-bajaj-finance-before-housing-unit-board-meet-over-listing-12697711.html,UBS issues 'sell' tag on Bajaj Finance before housing unit board meet over listing,ACCEPTED,True,2024-04-23,2024-04-23 10:00:00+05:30,https://www.moneycontrol.com/news/business/markets/ubs-issues-sell-on-bajaj-finance-before-housing-unit-board-meet-over-listing-12697711.html
20240423083000-1189,20240423083000,moneycontrol.com,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-finance-target-of-rs-9000-emkay-global-financial-12701751.html,Buy Bajaj Finance; target of Rs 9000: Emkay Global Financial,ACCEPTED,True,2024-04-23,2024-04-23 14:00:00+05:30,https://www.moneycontrol.com/news/business/stocks/buy-bajaj-finance-target-of-rs-9000-emkay-global-financial-12701751.html
20240423093000-1572,20240423093000,india.com,https://www.india.com/business/m-share-price-target-6879198/,"M&M, Bajaj Finance, Axis Bank, Power Grid, Indus Towers, United Spirits; Share Price Target",ACCEPTED,True,2024-04-23,2024-04-23 15:00:00+05:30,https://www.india.com/business/m-share-price-target-6879198
