GKGRECORDID,DATE,page_title,url,source,rejection_reason
20240401034500-829,20240401034500,"Chartist Talks | Save your profits until Nifty climbs 22,550-22,600 zone with conviction, says Milan Vaishnav",https://www.moneycontrol.com/news/business/markets/chartist-talks-save-your-profits-until-nifty-climbs-22550-22600-zone-with-conviction-says-milan-vaishnav-12551251.html,moneycontrol.com,MATCHER_REJECTED
20240401051500-389,20240401051500,Stock Market Sectors: Stock market update: Power stocks  up  as market  rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-rises/articleshow/108931981.cms,indiatimes.com,MATCHER_REJECTED
20240401051500-866,20240401051500,Stock Market Sectors: Stock market update: Sugar stocks  up  as market  rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-rises/articleshow/108932086.cms,indiatimes.com,MATCHER_REJECTED
20240401054500-916,20240401054500,share market: Share market update: Most active stocks on D-Street today in terms of volume,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-on-d-street-today-in-terms-of-volume/articleshow/108932686.cms,indiatimes.com,MATCHER_REJECTED
20240401054500-404,20240401054500,Sensex Nifty hit all-time high in early trade,https://www.theweek.in/wire-updates/business/2024/04/01/del14-biz-stocks-open.html,theweek.in,MATCHER_REJECTED
20240401060000-713,20240401060000,Stock Market Sectors: Stock market update: Mining stocks  up  as market  rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-up-as-market-rises/articleshow/108933155.cms,indiatimes.com,MATCHER_REJECTED
20240401060000-292,20240401060000,Meet the winners of the Amazon AI Conclave 2021 Enterprise AI Awards,https://social.yourstory.com:443/2021/02/winners-amazon-ai-conclave-2021-enterprise-ai-awards,yourstory.com,MATCHER_REJECTED
20240401061500-277,20240401061500,Stock Market Sectors: Stock market update: Fertilisers stocks  up  as market  rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/108934128.cms,indiatimes.com,MATCHER_REJECTED
20240401061500-1063,20240401061500,"Tata Steel, Adani Ports & Special Economic Zone & others hit 52 week high today ; Do you own any?",https://www.livemint.com/market/tata-steel-adani-ports-special-economic-zone-others-hit-52-week-high-today-do-you-own-any-11711949400748.html,livemint.com,MATCHER_REJECTED
20240401063000-594,20240401063000,Stock market | Sensex and Nifty hit all-time high in early trade amid firm trends from Asian markets and foreign fund inflows,https://www.telegraphindia.com/feeds/business/sensex-and-nifty-hit-all-time-high-in-early-trade-amid-firm-trends-from-asian-markets-and-foreign-fund-inflows/cid/2010373,telegraphindia.com,MATCHER_REJECTED
20240401063000-811,20240401063000,"Sensex, Nifty hit all-time high in first trading session of FY25",https://indianexpress.com/article/business/market/sensex-nifty-50-all-time-high-jsw-steel-tata-steel-hdfc-bank-9244445/,indianexpress.com,MATCHER_REJECTED
20240401070000-497,20240401070000,"Stock Market Today: Sensex, Nifty Hit All-time High in Early Trade",https://www.latestly.com/agency-news/india-news-sensex-nifty-hit-all-time-high-in-early-trade-5860084.html,latestly.com,MATCHER_REJECTED
20240401073000-942,20240401073000,Stock market | Sensex and Nifty hit all-time high in early trade amid firm trends from Asian markets and foreign fund inflows,https://www.telegraphindia.com/business/sensex-and-nifty-hit-all-time-high-in-early-trade-amid-firm-trends-from-asian-markets-and-foreign-fund-inflows/cid/2010373,telegraphindia.com,MATCHER_REJECTED
20240401073000-745,20240401073000,"Stock market today: Sensex, Nifty hit all-time high in early trade",https://www.thehindu.com/business/markets/sensex-nifty-hit-all-time-high-in-early-trade/article68015212.ece,thehindu.com,MATCHER_REJECTED
20240401074500-470,20240401074500,"Sensex at 74,208 and Nifty at 22,519 hit all-time highs in early trade",https://www.tribuneindia.com/news/business/sensex-nifty-hit-all-time-high-in-early-trade-606247,tribuneindia.com,MATCHER_REJECTED
20240401103000-619,20240401103000,"Market Update: Nifty and Sensex Gain, All Sectors in Green",https://www.indiainfoline.com/news/markets/market-update-nifty-and-sensex-gain-all-sectors-in-green,indiainfoline.com,MATCHER_REJECTED
20240401111500-126,20240401111500,Stock market | Stock markets begin new fiscal on bullish note; Sensex and Nifty hit all-time high in intra-day,https://www.telegraphindia.com/feeds/business/stock-markets-begin-new-fiscal-on-bullish-note-sensex-and-nifty-hit-all-time-high-in-intra-day/cid/2010469,telegraphindia.com,MATCHER_REJECTED
20240401111500-480,20240401111500,Stock market | Stock markets begin new fiscal on bullish note; Sensex and Nifty hit all-time high in intra-day,https://www.telegraphindia.com/business/stock-markets-begin-new-fiscal-on-bullish-note-sensex-and-nifty-hit-all-time-high-in-intra-day/cid/2010469,telegraphindia.com,MATCHER_REJECTED
20240401111500-683,20240401111500,"Stock Markets Begin New Fiscal On Bullish Note; Sensex, Nifty Hit All-time High In Intra-Day",https://zeenews.india.com/markets/stock-markets-begin-new-fiscal-on-bullish-note-sensex-nifty-hit-all-time-high-in-intra-day-2736158.html,india.com,MATCHER_REJECTED
20240401111500-1434,20240401111500,"Stock markets begin new fiscal on bullish note; Sensex, Nifty hit all-time high in intra-day",https://www.tribuneindia.com/news/business/stock-markets-begin-new-fiscal-on-bullish-note-sensex-nifty-hit-all-time-high-in-intra-day-606288,tribuneindia.com,MATCHER_REJECTED
20240401111500-598,20240401111500,"Stock market today: Nifty 50, Sensex end higher; mid, smallcaps outperform; investors earn over  &#x20B9;6 lakh crore in a day",https://www.livemint.com/market/stock-market-news/stock-market-today-nifty-50-sensex-end-higher-mid-smallcaps-outperform-investors-earn-over-6-lakh-crore-in-a-day-11711964694454.html,livemint.com,MATCHER_REJECTED
20240401111500-1464,20240401111500,Stock Market Sectors: Stock market update: Mining stocks  up  as market  rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-up-as-market-rises/articleshow/108944065.cms,indiatimes.com,MATCHER_REJECTED
20240401113000-922,20240401113000,Stock Market Sectors: Stock market update: FMCG stocks  up  as market  rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fmcg-stocks-up-as-market-rises/articleshow/108944601.cms,indiatimes.com,MATCHER_REJECTED
20240401113000-349,20240401113000,Stock markets begin new fiscal on bullish note Sensex Nifty hit all-time high in intra-day,https://www.theweek.in/wire-updates/business/2024/04/01/del74-biz-stocks-close.html,theweek.in,MATCHER_REJECTED
20240401114500-501,20240401114500,Stock Market Sectors: Stock market update: Fertilisers stocks  up  as market  rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/108945552.cms,indiatimes.com,MATCHER_REJECTED
20240401114500-682,20240401114500,Stock Market Sectors: Stock market update: Power stocks  up  as market  rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-rises/articleshow/108945966.cms,indiatimes.com,MATCHER_REJECTED
20240401120000-758,20240401120000,Stock Market Sectors: Stock market update: Sugar stocks  up  as market  rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-rises/articleshow/108946412.cms,indiatimes.com,MATCHER_REJECTED
20240401120000-909,20240401120000,"Sensex, Nifty begin new fiscal on bullish note - The Hindu BusinessLine",https://www.thehindubusinessline.com/markets/sensex-nifty-begin-new-fiscal-on-bullish-note/article68015762.ece,thehindubusinessline.com,MATCHER_REJECTED
20240401123000-722,20240401123000,Stock markets start new fiscal on a high Sensex Nifty scale new lifetime highs,https://www.theweek.in/wire-updates/business/2024/04/01/del101-biz-ld-stocks.html,theweek.in,MATCHER_REJECTED
20240401130000-803,20240401130000,"India News | Stock Markets Start New Fiscal on a High; Sensex, Nifty Scale New Lifetime Highs",https://www.latestly.com/agency-news/india-news-stock-markets-start-new-fiscal-on-a-high-sensex-nifty-scale-new-lifetime-highs-5861388.html,latestly.com,MATCHER_REJECTED
20240401130000-501,20240401130000,Megha Engineering: From a fabrication unit to an infrastructure major,https://www.thehindubusinessline.com/data-stories/data-focus/megha-engineering-from-a-fabrication-unit-to-an-infrastructure-major/article68015935.ece,thehindubusinessline.com,MATCHER_REJECTED
20240401140000-438,20240401140000,"Stock markets start new fiscal on a high; Sensex, Nifty scale new lifetime highs",https://www.thehindu.com/business/markets/stock-markets-start-new-fiscal-on-a-high-sensex-nifty-scale-new-lifetime-highs/article68016200.ece,thehindu.com,MATCHER_REJECTED
20240401141500-1636,20240401141500,Markets rally make investors richer by Rs 10.58 lakh cr in three days,https://www.theweek.in/wire-updates/business/2024/04/01/del114-biz-stocks-wealth.html,theweek.in,MATCHER_REJECTED
20240401143000-618,20240401143000,Markets rally make investors richer by Rs 10.58 lakh crore in three days,https://indianexpress.com/article/business/markets-rally-investors-richer-rs-10-58-lakh-crore-three-days-9245406/,indianexpress.com,MATCHER_REJECTED
20240401144500-410,20240401144500,Stock markets begin new fiscal on bullish note,https://www.rediff.com/business/report/stock-markets-begin-new-fiscal-on-bullish-note/20240401.htm,rediff.com,MATCHER_REJECTED
20240401150000-1156,20240401150000,Stock market rally: BSE Sensex jumps over 2% in 3 days; leaves investors richer by Rs 10.58 lakh crore,https://timesofindia.indiatimes.com/business/india-business/stock-market-rally-bse-sensex-jumps-over-2-in-3-days-leaves-investors-richer-by-rs-10-58-lakh-crore/articleshow/108949662.cms,indiatimes.com,MATCHER_REJECTED
20240401194500-1045,20240401194500,Markets rally make investors richer by Rs 10.58 lakh cr in three days,https://www.rediff.com/business/report/markets-rally-make-investors-richer-by-rs-1058-lakh-cr-in-three-days/20240401.htm,rediff.com,MATCHER_REJECTED
20240402021500-646,20240402021500,"Sensex: Sensex, Nifty Hit New Lifetime Peaks | Mumbai News",https://timesofindia.indiatimes.com/city/mumbai/sensex-nifty-hit-new-lifetime-peaks/articleshow/108955752.cms,indiatimes.com,MATCHER_REJECTED
20240402031500-963,20240402031500,Flexi space companies now prefer to buy properties,https://economictimes.indiatimes.com/industry/services/property-/-cstruction/flexi-space-companies-now-prefer-to-buy-properties/articleshow/108959202.cms,indiatimes.com,MATCHER_REJECTED
20240402060000-998,20240402060000,Stock Market Sectors: Stock market update: Power stocks  up  as market  falls,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-falls/articleshow/108963535.cms,indiatimes.com,MATCHER_REJECTED
20240402061500-1499,20240402061500,share market: Share market update: Most active stocks on D-Street today in terms of volume,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-on-d-street-today-in-terms-of-volume/articleshow/108963992.cms,indiatimes.com,MATCHER_REJECTED
20240402110000-1109,20240402110000,"Stock markets snap three-day winning run; Sensex down 110 pts on profit-taking, foreign fund outflows",https://www.orissapost.com/stock-markets-snap-three-day-winning-run-sensex-down-110-pts-on-profit-taking-foreign-fund-outflows/,orissapost.com,MATCHER_REJECTED
20240402120000-491,20240402120000,"Stock markets snap 3-day winning run; Sensex down 110 points on profit-taking, foreign fund outflows",https://www.tribuneindia.com/news/business/stock-markets-snap-3-day-winning-run-sensex-down-110-points-on-profit-taking-foreign-fund-outflows-606627,tribuneindia.com,MATCHER_REJECTED
20240402120000-1424,20240402120000,"Stock markets snap three-day winning run; Sensex down 110 points on profit-taking, foreign fund outflows",https://www.thehindu.com/business/markets/stock-markets-snap-three-day-winning-run-sensex-down-110-points-on-profit-taking-foreign-fund-outflows/article68019609.ece,thehindu.com,MATCHER_REJECTED
20240402121500-177,20240402121500,Stock Market Sectors: Stock market update: Power stocks  up  as market  falls,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-falls/articleshow/108976793.cms,indiatimes.com,MATCHER_REJECTED
20240402150000-1463,20240402150000,"Sensex down 110 pts on profit-taking, foreign fund outflows",https://www.thehindubusinessline.com/markets/sensex-down-110-pts-on-profit-taking-foreign-fund-outflows/article68019583.ece,thehindubusinessline.com,MATCHER_REJECTED
20240402150000-578,20240402150000,"Sensex down 111 pts on profit-taking, foreign fund outflows",https://www.rediff.com/business/report/sensex-down-111-pts-on-profit-taking-foreign-fund-outflows/20240402.htm,rediff.com,MATCHER_REJECTED
20240402151500-624,20240402151500,"Stock Markets Snap 3-day Winning Run; Sensex Down 110 Pts On Profit-taking, Foreign Fund Outflows",https://zeenews.india.com/markets/stock-markets-snap-3-day-winning-run-sensex-down-110-pts-on-profit-taking-foreign-fund-outflows-2736484.html,india.com,MATCHER_REJECTED
20240402180000-1488,20240402180000,Trade setup for Wednesday: 15 things to know before opening bell,https://www.moneycontrol.com/news/business/markets/trade-setup-for-wednesday-15-things-to-know-before-opening-bell-27-12563901.html,moneycontrol.com,MATCHER_REJECTED
