record_id,headline,canonical_url,source,DATE
20240117123000-1706,"TCS gains US$ 2 billion in brand value, highest growth in IT Industry",https://www.adgully.com/tcs-gains-us-2-billion-in-brand-value-highest-growth-in-it-industry-141039.html,adgully.com,20240117123000
20240117161500-1451,"Accenture remains most valuable IT services brand, TCS in second place",https://social.yourstory.com:443/enterprise-story/2024/01/accenture-remains-most-valuable-it-services-brand-tcs-in-second-place,yourstory.com,20240117161500
20240117171500-T283,"Marken-Ranking der IT-Giganten: Accenture, TCS und Infosys sind die wertvollsten IT-Marken",https://www.elektroniknet.de/automation/accenture-tcs-und-infosys-sind-die-wertvollsten-it-marken.213394.html,elektroniknet.de,20240117171500
20240117190000-2121,"Accenture remains most valuable IT services brand, TCS in second place",https://yourstory.com:443/enterprise-story/2024/01/accenture-remains-most-valuable-it-services-brand-tcs-in-second-place,yourstory.com,20240117190000
20240117204500-5,"Accenture remains most valuable IT services brand, TCS in second place",https://her.yourstory.com:443/enterprise-story/2024/01/accenture-remains-most-valuable-it-services-brand-tcs-in-second-place,yourstory.com,20240117204500
20240117234500-360,"Leopard and 2 cubs on site, Indore staff of TCS and Infosys confined indoors | India News",https://timesofindia.indiatimes.com/india/leopard-and-2-cubs-on-site-indore-staff-of-tcs-and-infosys-confined-indoors/articleshow/106938541.cms,indiatimes.com,20240117234500
20240118034500-1238,"3 leopards on Infosys, TCS campuses in Indore, staff confined indoors | Indore News",https://timesofindia.indiatimes.com/city/indore/leopard-and-2-cubs-on-site-indore-staff-of-tcs-and-infosys-confined-indoors/articleshow/106938541.cms,indiatimes.com,20240118034500
20240118043000-T651,TCS became the second largest IT company in the world,https://www.tarunbharat.com/tcs-became-the-second-largest-it-company-in-the-world/,tarunbharat.com,20240118043000
20240118120000-623,"BSNL customers leave due to delay in TCS-backed 4G network: Employee group, ET Telecom",https://telecom.economictimes.indiatimes.com/news/industry/bsnl-customers-leave-due-to-delay-in-4g-network-deployment-employee-group/106955520,indiatimes.com,20240118120000
20240118191500-832,"Indian IT giants HCL, Infosys, TCS and Wipro prosper on demand for AI",https://readwrite.com/indias-big-four-services-giants-soar-on-demand-for-ai/,readwrite.com,20240118191500
20240118214500-717,"Martin gives State of Schools Address, proposes 12.9 mill increase to help with TCS growth",https://www.trussvilletribune.com/2024/01/18/martin-gives-state-of-schools-address-proposes-12-9-mill-increase-to-help-with-tcs-growth/,trussvilletribune.com,20240118214500
20240119023000-1047,TCS named top employer in Europe; these are the 12 European countries where it gets the title |,https://timesofindia.indiatimes.com/gadgets-news/tcs-named-top-employer-in-europe-these-are-the-12-european-countries-where-it-gets-the-title/articleshow/106971419.cms,indiatimes.com,20240119023000
20240119083000-187,"TCS Top Employer In Europe, 12th Consecutive Time To Top The List",https://www.news18.com/business/tcs-top-employer-in-europe-12th-consecutive-time-to-top-the-list-8746214.html,news18.com,20240119083000
20240122043000-487,"BSNL employee union sends letter to IT minister, complains of delay in TCS-backed 4G network",https://timesofindia.indiatimes.com/gadgets-news/bsnl-employee-union-sends-letter-to-it-minister-complains-of-delay-in-tcs-backed-4g-network/articleshow/107034429.cms,indiatimes.com,20240122043000
20240122081500-T2086,"Dutch IT Channel - TCS boekt meer omzet en winst met AI, Cloud en Cybersecurity",https://www.dutchitchannel.nl/news/419458/tcs-boekt-meer-omzet-en-winst-met-ai-cloud-en-cybersecurity,dutchitchannel.nl,20240122081500
20240122113000-1245,Tech Mahindra appoints ex-TCS CMO Rajashree R as chief growth officer for America strategic verticals,https://www.moneycontrol.com/news/technology/tech-mahindra-appoints-ex-tcs-cmo-rajashree-r-as-chief-growth-officer-for-america-strategic-verticals-12102601.html,moneycontrol.com,20240122113000
20240122121500-1143,Tech Mahindra: Former TCS CMO Rajashree R joins Tech Mahindra,https://economictimes.indiatimes.com/tech/technology/former-tcs-cmo-rajashree-r-joins-tech-mahindra/articleshow/107055034.cms,indiatimes.com,20240122121500
20240122130000-1021,"Former TCS CMO Rajashree R joins Tech Mahindra, Telecom News, ET Telecom",https://telecom.economictimes.indiatimes.com/news/enterprise-services/former-tcs-cmo-rajashree-r-joins-tech-mahindra/107057075,indiatimes.com,20240122130000
20240122134500-T32,"TCS की पूर्व सीएमओ राजश्री अब Tech Mahindra में, मिली यह जिम्मेदारी",https://hindi.moneycontrol.com/news/business/tech-mahindra-appoints-ex-tcs-cmo-rajashree-r-as-chief-growth-officer-for-america-strategic-verticals-1734721.html,moneycontrol.com,20240122134500
20240123061500-105,Tech Mahindra Welcomes Ex TCS CMO Rajashree R As Chief Growth Officer For Americas - BW Businessworld,https://www.businessworld.in/article/Tech-Mahindra-Welcomes-Ex-TCS-CMO-Rajashree-R-As-Chief-Growth-Officer-For-Americas/23-01-2024-507273/,businessworld.in,20240123061500
20240124121500-942,"'As Gen AI Goes Enterprise Mainstream, Expect A ""value-first"" Shift In IT Services': TCS",https://www.forbesindia.com/article/leadership/as-gen-ai-goes-enter-prise-mainstream-expect-a-quotvaluefirstquot-shift-in-it-services-tcs/91053/1,forbesindia.com,20240124121500
20240124161500-64,"TCS gains US$ 2 billion in Brand Value, highest value growth across the global IT Services Industry for the year",https://bilkulonline.com/2024/01/24/tcs-gains-us-2-billion-in-brand-value-highest-value-growth-across-the-global-it-services-industry-for-the-year/,bilkulonline.com,20240124161500
20240125111500-T233,Oltre 360mila interventi di assistenza ai veicoli per il TCS nel 2023,http://www.tio.ch/economia/svizzera/1728676/oltre-360mila-interventi-di-assistenza-ai-veicoli-per-il-tcs-nel-2023,tio.ch,20240125111500
20240129113000-1134,"Indian telecom sector's exports grew 35% in 2023: TCS COO, Telecom News, ET Telecom",https://telecom.economictimes.indiatimes.com/news/industry/indian-telecom-sectors-exports-grew-35-in-2023-tcs-coo/107222739,indiatimes.com,20240129113000
20240129233000-1187,Haivision IP And Bonded Cellular Solutions Power Live Broadcast Coverage Of TCS New York City Marathon,https://tvnewscheck.com/tech/article/haivision-ip-and-bonded-cellular-solutions-power-live-broadcast-coverage-of-tcs-new-york-city-marathon/,tvnewscheck.com,20240129233000
