article_id,ticker,company,headline,source,url,published_at,seen_at,source_timestamp,trading_date,timestamp_basis,gkg_record_id,company_match_reason,finbert_label,finbert_confidence,sentiment_score
22bb5504f5c57ee9967f1525681dead523344264,INFY.NS,Infosys,"Stocks To Watch: HDFC Bank, Infosys, IOCL, RVNL, Asian Paints, JM Financial, Adani Total Gas, Pharma Stocks",financialexpress.com,https://www.financialexpress.com/market/stocks-to-watch-hdfc-bank-infosys-iocl-rvnl-asian-paints-jm-financial-adani-total-gas-pharma-stocks-3442442,2024-04-01T06:18:00+05:30,2024-04-01T07:00:00+05:30,20240401013000,2024-04-01,publisher_published_at,20240401013000-1009,Direct headline match with company alias,,,
d799bbff4ae3802f5c2f302dde9363a21a91e0c7,INFY.NS,Infosys,"Stocks in news: Stocks in news: IDFC First Bank, Indian Oil, Infosys, Zomato, JSW Steel",indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-idfc-first-bank-indian-oil-infosys-zomato-jsw-steel/articleshow/108928374.cms,,2024-04-01T08:15:00+05:30,20240401024500,2024-04-01,gdelt_gkg_observation,20240401024500-17,Direct headline match with company alias,,,
401b24a4c73336f67310cfd60427c4f7b49c2277,INFY.NS,Infosys,Infosys: Infy To Get Over ₹6k Cr In I-t Refund For 11 Years | Bengaluru News,indiatimes.com,https://timesofindia.indiatimes.com/city/bengaluru/infy-to-get-over-6k-cr-in-i-t-refund-for-11-years/articleshow/108926040.cms,,2024-04-01T08:30:00+05:30,20240401030000,2024-04-01,gdelt_gkg_observation,20240401030000-536,Direct headline match with company alias,,,
8291e473d9e0ac4f9a7650078bc5f7c3959331cb,INFY.NS,Infosys,"Q4 results: Infosys March quarter earnings on April 18; here are dates for HDFC Bank, TechM, Wipro & ICICI Bank",businesstoday.in,https://www.businesstoday.in/markets/company-stock/story/q4-results-infosys-march-quarter-earnings-on-april-18-here-are-dates-for-hdfc-bank-techm-wipro-icici-bank-423640-2024-04-01,,2024-04-01T09:30:00+05:30,20240401040000,2024-04-01,gdelt_gkg_observation,20240401040000-779,Direct headline match with company alias,,,
056b7769d0056613f2e594c3831dd7c74ed30e02,INFY.NS,Infosys,"Infosys shares in focus as IT firm expects Rs 6,329 crore tax refund",businesstoday.in,https://www.businesstoday.in/markets/company-stock/story/infosys-shares-in-focus-as-it-firm-expects-rs-6329-crore-tax-refund-423623-2024-04-01,,2024-04-01T09:30:00+05:30,20240401040000,2024-04-01,gdelt_gkg_observation,20240401040000-337,Direct headline match with company alias,,,
31c71c9195974481ffa2d5ed9fe0edea7f2568f0,INFY.NS,Infosys,"Expect to receive Rs 6,329 cr tax refund: Infosys",navhindtimes.in,https://www.navhindtimes.in/2024/04/01/nationalnews/expect-to-receive-rs-6329-cr-tax-refund-infosys,,2024-04-01T09:30:00+05:30,20240401040000,2024-04-01,gdelt_gkg_observation,20240401040000-789,Direct headline match with company alias,,,
d6b81563ac52ea8857c4895759d2fc6f4fe661d4,INFY.NS,Infosys,"Stocks to Watch: Indian Oil, Infosys, Zomato, NTPC, HDFC Bank, Zee, RVNL, and Others",news18.com,https://www.news18.com/business/stocks-to-watch-indian-oil-infosys-zomato-ntpc-hdfc-bank-zee-rvnl-and-others-8835138.html,2024-04-01T08:19:00+05:30,2024-04-01T09:45:00+05:30,20240401041500,2024-04-01,publisher_published_at,20240401041500-668,Direct headline match with company alias,,,
22487af6dee0df9a731373ef54b54905aab82a42,INFY.NS,Infosys,"Stock Market Updates: Sensex Jumps 300 Points, Nifty Above 22,450; Infosys Gains 1%",news18.com,https://www.news18.com/business/stock-market-updates-sensex-jumps-300-points-nifty-above-22450-infosys-gains-1-8835202.html,2024-04-01T09:26:00+05:30,2024-04-01T09:45:00+05:30,20240401041500,2024-04-01,publisher_published_at,20240401041500-659,Direct headline match with company alias,,,
0896d65637a52d98f98eae348536fc15f6e61fd8,INFY.NS,Infosys,Narayana Murthy's Infosys to get Rs 63290000000 from Income Tax Department,dnaindia.com,https://www.dnaindia.com/business/report-narayana-murthy-s-infosys-to-get-rs-63290000000-from-income-tax-department-3083600,,2024-04-01T10:45:00+05:30,20240401051500,2024-04-01,gdelt_gkg_observation,20240401051500-324,Direct headline match with company alias,,,
8b36b6612855783c2489cca027d0bb51b4d89b78,INFY.NS,Infosys,"Infosys To Receive Rs 6,329 Cr Tax Refund From IT Dept",news18.com,https://www.news18.com/business/infosys-to-receive-rs-6329-cr-tax-refund-from-it-dept-8835241.html,2024-04-01T10:19:00+05:30,2024-04-01T11:00:00+05:30,20240401053000,2024-04-01,publisher_published_at,20240401053000-407,Direct headline match with company alias,,,
f0d6feb8449731599e91fe9df8c27b8f6e3dfe61,INFY.NS,Infosys,"Infy trades higher as Morgan Stanley retains 'overweight' call, awaits FY25 revenue guidance",moneycontrol.com,https://www.moneycontrol.com/news/business/markets/infy-trades-higher-as-morgan-stanley-retains-overweight-call-awaits-fy25-revenue-guidance-12552711.html,,2024-04-01T11:15:00+05:30,20240401054500,2024-04-01,gdelt_gkg_observation,20240401054500-130,Direct headline match with company alias,,,
085e9d5fe18030242761a12da6ff8977cf8f026f,INFY.NS,Infosys,"Stocks To Watch: HDFC Bank, RVNL, Infosys, And Others In News",outlookindia.com,https://business.outlookindia.com/markets/stocks-to-watch-hdfc-bank-rvnl-infosys-and-others-in-news,,2024-04-01T11:30:00+05:30,20240401060000,2024-04-01,gdelt_gkg_observation,20240401060000-862,Direct headline match with company alias,,,
f25967e7753c0f9fddf22666e5d3dfa0e2644dba,INFY.NS,Infosys,"India Movers: Chennai Petroleum, Garden Reach, Indian Oil, Infosys, NCC, Prestige Estates, RVNL, Torrent Power, Veranda Learning",ticker.com,"https://ticker.com/Asia-Stock-Movers-News-Today/India--Movers:-Chennai-Petroleum,-Garden-Reach,-Indian-Oil,-Infosys,-NCC,-Prestige-Estates,-RVNL,-Torrent-Power,-Veranda-Learning/Apr%201-2024/T-28053",,2024-04-01T12:00:00+05:30,20240401063000,2024-04-01,gdelt_gkg_observation,20240401063000-763,Direct headline match with company alias,,,
36c0b0cc0e8a2ff3de007d3cff2b66366d7e2d8b,INFY.NS,Infosys,"Hot Stocks: Brokerage view on GAIL, ICICI Lombard, PNB Housing and Infosys",indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/hot-stocks-brokerage-view-on-gail-icici-lombard-pnb-housing-and-infosys/articleshow/108934409.cms,,2024-04-01T12:00:00+05:30,20240401063000,2024-04-01,gdelt_gkg_observation,20240401063000-398,Direct headline match with company alias,,,
d11a0742020adf729a8ccef72279ea144defe7aa,INFY.NS,Infosys,"Stocks to Monitor: Infosys, India Cements, HDFC Bank, HAL, BOI, IOCL, Zomato",siliconindia.com,https://www.siliconindia.com/news/general/stocks-to-monitor-infosys-india-cements-hdfc-bank-hal-boi-iocl-zomato-nid-228742-cid-1.html,,2024-04-01T13:30:00+05:30,20240401080000,2024-04-01,gdelt_gkg_observation,20240401080000-302,Direct headline match with company alias,,,
1dddf7eef1b6e1baba1946d31fbddc18f24833eb,INFY.NS,Infosys,"Infosys Set for ₹6,300 Crore Windfall from Tax Refunds",indiainfoline.com,https://www.indiainfoline.com/news/companies/infosys-set-for-6300-crore-windfall-from-tax-refunds,2024-04-01T10:16:00+05:30,2024-04-01T13:45:00+05:30,20240401081500,2024-04-01,publisher_published_at,20240401081500-1316,Direct headline match with company alias,,,
aaee0b23ed3812557f0c65c13a89893d9e44898c,INFY.NS,Infosys,"TCS, Infosys, Wipro Q4 Results: IT Firms Likely To Post Weak Earnings",news18.com,https://www.news18.com/business/tcs-infosys-wipro-q4-results-it-firms-likely-to-post-weak-earnings-8835471.html,2024-04-01T14:01:00+05:30,2024-04-01T15:15:00+05:30,20240401094500,2024-04-01,publisher_published_at,20240401094500-609,Direct headline match with company alias,,,
cb8c2f2fd591aa43574eab08598afac7012fe301,INFY.NS,Infosys,"Infosys-TCS पर ब्रोकरेज ने खेला तगड़ा दांव, बताई ये तीन अहम वजह",moneycontrol.com,https://hindi.moneycontrol.com/news/markets/it-stocks-infosys-tcs-are-analysts-top-picks-based-on-three-factors-1882181.html,,2024-04-01T17:30:00+05:30,20240401120000,2024-04-02,gdelt_gkg_observation,20240401120000-T1264,Direct headline match with company alias,,,
f27af13f5076213d2b7ab96783f1f836f2e3204c,INFY.NS,Infosys,Infosys receives tax demand of Rs 341 crore from I-T dept,moneycontrol.com,https://www.moneycontrol.com/news/business/companies/infosys-receives-tax-demand-of-rs-341-crore-from-i-t-dept-12556861.html,,2024-04-01T21:00:00+05:30,20240401153000,2024-04-02,gdelt_gkg_observation,20240401153000-996,Direct headline match with company alias,,,
f3d92ba6e2adca1a1de32fdbc366d037d4da885c,INFY.NS,Infosys,Infosys receives tax demand of ₹341 crore - The Hindu BusinessLine,thehindubusinessline.com,https://www.thehindubusinessline.com/companies/infosys-receives-tax-demand-of-341-crore/article68017004.ece,2024-04-01T21:00:00+05:30,2024-04-01T21:30:00+05:30,20240401160000,2024-04-02,publisher_published_at,20240401160000-414,Direct headline match with company alias,,,
9bc7d6ff0e8c7dddd084523b920e22fca68eeb16,INFY.NS,Infosys,Alta Capital Management LLC Lowers Holdings in Infosys Limited (NYSE:INFY),theenterpriseleader.com,https://theenterpriseleader.com/2024/04/01/alta-capital-management-llc-lowers-holdings-in-infosys-limited-nyseinfy.html,,2024-04-01T21:45:00+05:30,20240401161500,2024-04-02,gdelt_gkg_observation,20240401161500-1731,Direct headline match with company alias,,,
188cd185a82ce2b31d582138ecafdeba87cb2c1a,INFY.NS,Infosys,Infosys gets Rs 341 crore tax demand for assessment year 2020-21,deccanherald.com,https://www.deccanherald.com/business/companies/infosys-gets-rs-341-crore-tax-demand-for-assessment-year-2020-21-2960788,,2024-04-01T22:30:00+05:30,20240401170000,2024-04-02,gdelt_gkg_observation,20240401170000-1110,Direct headline match with company alias,,,
3dbfebf5bb306618795b38cf2499b917c843f7ee,INFY.NS,Infosys,Infosys gets demand notice of ₹341 crore from income tax department,livemint.com,https://www.livemint.com/companies/news/infosys-receives-demand-of-341-crore-from-income-tax-department-11711986154291.html,2024-04-01T21:22:00+05:30,2024-04-01T23:00:00+05:30,20240401173000,2024-04-02,publisher_published_at,20240401173000-735,Direct headline match with company alias,,,
84885ca7bd4987270e8f79a024bbe502229e2e29,INFY.NS,Infosys,Infosys receives tax demand of ₹341 crore - The Hindu BusinessLine,thehindubusinessline.com,https://www.thehindubusinessline.com/info-tech/infosys-receives-tax-demand-of-341-crore/article68017004.ece,2024-04-01T21:00:00+05:30,2024-04-01T23:30:00+05:30,20240401180000,2024-04-02,publisher_published_at,20240401180000-361,Direct headline match with company alias,,,
f3070c3b46ce0df315ed694dc45c747c255f2f2d,INFY.NS,Infosys,Infosys Receives Rs 341 Crore Tax Demand For Assessment Year 2020-21,ndtv.com,https://www.ndtv.com/india-news/infosys-receives-rs-341-crore-tax-demand-for-assessment-year-2020-21-5354312,,2024-04-02T00:15:00+05:30,20240401184500,2024-04-02,gdelt_gkg_observation,20240401184500-1464,Direct headline match with company alias,,,
565227e0fa05c79483263ff9633cc3f8147946ca,INFY.NS,Infosys,HSBC Upgrades Infosys (NYSE:INFY) to Buy,dailypolitical.com,https://www.dailypolitical.com/2024/04/01/hsbc-upgrades-infosys-nyseinfy-to-buy.html,,2024-04-02T01:15:00+05:30,20240401194500,2024-04-02,gdelt_gkg_observation,20240401194500-1595,Direct headline match with company alias,,,
03bf1d26692e34be130c83f87bf6cdd9f16151e6,INFY.NS,Infosys,Infosys gets Rs 341 crore tax demand for assessment year 2020-21,rediff.com,https://www.rediff.com/business/report/infosys-gets-rs-341-crore-tax-demand-for-assessment-year-2020-21/20240401.htm,2024-04-01T21:57:00+05:30,2024-04-02T01:15:00+05:30,20240401194500,2024-04-02,publisher_published_at,20240401194500-1925,Direct headline match with company alias,,,
cb553dee9302d76e80cc2ee39c0c27f3b15e936f,INFY.NS,Infosys,HSBC Upgrades Infosys (NYSE:INFY) to Buy,themarketsdaily.com,https://www.themarketsdaily.com/2024/04/01/hsbc-upgrades-infosys-nyseinfy-to-buy.html,,2024-04-02T01:45:00+05:30,20240401201500,2024-04-02,gdelt_gkg_observation,20240401201500-844,Direct headline match with company alias,,,
