gkg_record_id,date,source,url,headline,pipeline_stage,matcher_decision,trading_date,ist_dt,canonical_url
20240425104500-983,20240425104500,theweek.in,https://www.theweek.in/news/biz-tech/2024/04/25/kotak-banks-growth-plans-to-take-a-hit-post-rbi-restrictions-on-digital-channels-shares-plunge-11-pc.html,Kotak Bank's growth plans to take a hit post RBI restrictions on digital channels; shares plunge 11 pc,ACCEPTED,True,2024-04-26,2024-04-25 16:15:00+05:30,https://www.theweek.in/news/biz-tech/2024/04/25/kotak-banks-growth-plans-to-take-a-hit-post-rbi-restrictions-on-digital-channels-shares-plunge-11-pc.html
20240425113000-895,20240425113000,singaporestar.com,https://www.singaporestar.com/news/274308532/kotak-mahindra-bank-share-tanks-10-after-rbi-bars-on-boarding-customers-digitally,Kotak Mahindra Bank share tanks 10% after RBI bars on boarding customers digitally,ACCEPTED,True,2024-04-26,2024-04-25 17:00:00+05:30,https://www.singaporestar.com/news/274308532/kotak-mahindra-bank-share-tanks-10-after-rbi-bars-on-boarding-customers-digitally
20240425113000-561,20240425113000,livemint.com,https://www.livemint.com/market/uday-kotak-loses-rs-10-225-crore-as-kotak-mahindra-bank-share-price-declines-10-85-on-thursday-following-rbi-curbs-11714040148191.html,"Uday Kotak loses ₹10,225 crore as Kotak Mahindra Bank Share price declines 10.85% on Thursday following RBI curbs",ACCEPTED,True,2024-04-26,2024-04-25 17:00:00+05:30,https://www.livemint.com/market/uday-kotak-loses-rs-10-225-crore-as-kotak-mahindra-bank-share-price-declines-10-85-on-thursday-following-rbi-curbs-11714040148191.html
20240425113000-484,20240425113000,businesstoday.in,https://www.businesstoday.in/visualstories/stock/hot-stocks-on-april-25-voltas-waaree-renewable-kotak-mahindra-bank-indian-hotels-and-more-131447-25-04-2024,"Hot stocks on April 25: Voltas, Waaree Renewable, Kotak Mahindra Bank, Indian Hotels and more",ACCEPTED,True,2024-04-26,2024-04-25 17:00:00+05:30,https://www.businesstoday.in/visualstories/stock/hot-stocks-on-april-25-voltas-waaree-renewable-kotak-mahindra-bank-indian-hotels-and-more-131447-25-04-2024
20240425113000-T820,20240425113000,indiatimes.com,https://navbharattimes.indiatimes.com/business/business-news/rbi-action-against-kotak-mahindra-bank-what-happened-on-april-15-that-was-final-straw/articleshow/109594012.cms,RBI action against Kotak Mahindra Bank What happened on April 15 that was final straw: कोटक के खिलाफ ऐक्‍शन: 15 अप्रैल को ऐसा क्या हुआ था जो RBI को बहुत ज्‍यादा अखर गया?,ACCEPTED,True,2024-04-26,2024-04-25 17:00:00+05:30,https://navbharattimes.indiatimes.com/business/business-news/rbi-action-against-kotak-mahindra-bank-what-happened-on-april-15-that-was-final-straw/articleshow/109594012.cms
20240425114500-6,20240425114500,indiatimes.com,https://economictimes.indiatimes.com/markets/web-stories/gainers-amp-losers-axis-bank-kotak-bank-among-6-stocks-that-hogged-limelight-today/slideshow/109594939.cms,"Kotak Mahindra Bank shares: Gainers & losers: Axis Bank, Kotak Bank among 6 stocks that hogged limelight today",ACCEPTED,True,2024-04-26,2024-04-25 17:15:00+05:30,https://economictimes.indiatimes.com/markets/web-stories/gainers-amp-losers-axis-bank-kotak-bank-among-6-stocks-that-hogged-limelight-today/slideshow/109594939.cms
20240425114500-1594,20240425114500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/asias-richest-banker-uday-kotak-loses-1-3-billion-after-rbis-ban/articleshow/109593878.cms,Asia's richest banker Uday Kotak loses $1.3 billion after RBI's ban,ACCEPTED,True,2024-04-26,2024-04-25 17:15:00+05:30,https://economictimes.indiatimes.com/markets/stocks/news/asias-richest-banker-uday-kotak-loses-1-3-billion-after-rbis-ban/articleshow/109593878.cms
20240425114500-1417,20240425114500,torontotelegraph.com,https://www.torontotelegraph.com/news/274308532/kotak-mahindra-bank-share-tanks-10-after-rbi-bars-on-boarding-customers-digitally,Kotak Mahindra Bank share tanks 10% after RBI bars on boarding customers digitally,ACCEPTED,True,2024-04-26,2024-04-25 17:15:00+05:30,https://www.torontotelegraph.com/news/274308532/kotak-mahindra-bank-share-tanks-10-after-rbi-bars-on-boarding-customers-digitally
20240425114500-181,20240425114500,newzealandstar.com,https://www.newzealandstar.com/news/274308532/kotak-mahindra-bank-share-tanks-10-after-rbi-bars-on-boarding-customers-digitally,Kotak Mahindra Bank share tanks 10% after RBI bars on boarding customers digitally,ACCEPTED,True,2024-04-26,2024-04-25 17:15:00+05:30,https://www.newzealandstar.com/news/274308532/kotak-mahindra-bank-share-tanks-10-after-rbi-bars-on-boarding-customers-digitally
20240425114500-527,20240425114500,moneycontrol.com,https://www.moneycontrol.com/news/business/asias-richest-banker-uday-kotak-loses-1-3-billion-after-rbis-curbs-12708262.html,Asia's richest banker Uday Kotak loses $1.3 billion after RBI's curbs,ACCEPTED,True,2024-04-26,2024-04-25 17:15:00+05:30,https://www.moneycontrol.com/news/business/asias-richest-banker-uday-kotak-loses-1-3-billion-after-rbis-curbs-12708262.html
