article_id,ticker,headline,url,canonical_url,source,published_at,trading_date,timestamp_basis,human_label,human_notes
20241001020000-329,TCS.NS,"Stocks in news: Stocks in news: TCS, Tata Power, IRCTC, Mankind Pharma, Bank of Maharashtra, SpiceJet",https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-tcs-tata-power-irctc-mankind-pharma-bank-of-maharashtra-spicejet/articleshow/113832189.cms,https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-tcs-tata-power-irctc-mankind-pharma-bank-of-maharashtra-spicejet/articleshow/113832189.cms,indiatimes.com,2024-10-01T07:30:00+05:30,2024-10-01,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q2/FY25 earnings, financial performance, client deals, order wins, hiring, leadership, or dividend."
20241001033000-411,TCS.NS,"Stocks To Watch: Tata Power, IRCTC, TCS, Airtel, Adani Ent, IOC, Tata Steel, And Others",https://www.news18.com/business/markets/stocks-to-watch-tata-power-irctc-tcs-airtel-adani-ent-ioc-tata-steel-and-others-9069694.html,https://www.news18.com/business/markets/stocks-to-watch-tata-power-irctc-tcs-airtel-adani-ent-ioc-tata-steel-and-others-9069694.html,news18.com,2024-10-01T09:00:00+05:30,2024-10-01,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q2/FY25 earnings, financial performance, client deals, order wins, hiring, leadership, or dividend."
20241001050000-21,TCS.NS,This IITian gave up TCS job in Mumbai to become an IAS officer. His first salary was...,https://www.hindustantimes.com/trending/this-iitian-gave-up-tcs-job-in-mumbai-to-become-an-ias-officer-his-first-salary-was-101727754727799.html,https://www.hindustantimes.com/trending/this-iitian-gave-up-tcs-job-in-mumbai-to-become-an-ias-officer-his-first-salary-was-101727754727799.html,hindustantimes.com,2024-10-01T10:30:00+05:30,2024-10-01,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q2/FY25 earnings, financial performance, client deals, order wins, hiring, leadership, or dividend."
20241001053000-728,TCS.NS,"IAS officer shares his TCS job's appointment letter: Rs 1,300 salary 40 years ago and a stunning sea view perk",https://economictimes.indiatimes.com/magazines/panache/ias-officers-first-job-at-tcs-40-years-ago-came-with-a-salary-of-rs-1300-and-a-stunning-sea-view-perk/articleshow/113836265.cms,https://economictimes.indiatimes.com/magazines/panache/ias-officers-first-job-at-tcs-40-years-ago-came-with-a-salary-of-rs-1300-and-a-stunning-sea-view-perk/articleshow/113836265.cms,indiatimes.com,2024-10-01T11:00:00+05:30,2024-10-01,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q2/FY25 earnings, financial performance, client deals, order wins, hiring, leadership, or dividend."
20241001063000-38,TCS.NS,"'TCS has a history of...': Retired IAS officer, IITian's first pay at IT major sparks reactions on a starting salary of...",https://www.businesstoday.in/latest/trends/story/tcs-has-a-history-of-retired-ias-officer-iitians-first-pay-at-it-major-sparks-reactions-on-a-starting-salary-of-448259-2024-10-01,https://www.businesstoday.in/latest/trends/story/tcs-has-a-history-of-retired-ias-officer-iitians-first-pay-at-it-major-sparks-reactions-on-a-starting-salary-of-448259-2024-10-01,businesstoday.in,2024-10-01T12:00:00+05:30,2024-10-01,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q2/FY25 earnings, financial performance, client deals, order wins, hiring, leadership, or dividend."
20241001063000-761,TCS.NS,TCS Mumbai Offered This IIT Graduate 'Princely Salary' in 1984. Can You Guess it?,https://www.news18.com/viral/tcs-mumbai-offered-this-iit-graduate-princely-salary-in-1984-can-you-guess-it-9069790.html,https://www.news18.com/viral/tcs-mumbai-offered-this-iit-graduate-princely-salary-in-1984-can-you-guess-it-9069790.html,news18.com,2024-10-01T12:00:00+05:30,2024-10-01,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q2/FY25 earnings, financial performance, client deals, order wins, hiring, leadership, or dividend."
20241001074500-308,TCS.NS,"Meet IITian, whose first salary at TCS was Rs 1300, left job, cracked UPSC exam and became IAS officer, he is...",https://www.dnaindia.com/viral/report-retd-ias-iitian-gave-up-tcs-job-to-become-ias-officer-reveals-his-first-salary-was-rupees-1300-3110771,https://www.dnaindia.com/viral/report-retd-ias-iitian-gave-up-tcs-job-to-become-ias-officer-reveals-his-first-salary-was-rupees-1300-3110771,dnaindia.com,2024-10-01T13:15:00+05:30,2024-10-01,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q2/FY25 earnings, financial performance, client deals, order wins, hiring, leadership, or dividend."
20241001083000-200,TCS.NS,Bureaucrat's First Salary At TCS In 1984 Was Just Rs 1300. See Viral Post,https://www.ndtv.com/offbeat/bureaucrats-first-salary-at-tcs-in-1984-was-just-rs-1300-see-viral-post-6690775,https://www.ndtv.com/offbeat/bureaucrats-first-salary-at-tcs-in-1984-was-just-rs-1300-see-viral-post-6690775,ndtv.com,2024-10-01T14:00:00+05:30,2024-10-01,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q2/FY25 earnings, financial performance, client deals, order wins, hiring, leadership, or dividend."
20241001094500-100,TCS.NS,"IT Sector Q2 Results Preview: TCS, Infosys likely to lead revenue growth, margins to remain mixed",https://www.livemint.com/companies/company-results/it-sector-q2-results-preview-tcs-infosys-likely-to-lead-revenue-growth-margins-to-remain-mixed-11727769457966.html,https://www.livemint.com/companies/company-results/it-sector-q2-results-preview-tcs-infosys-likely-to-lead-revenue-growth-margins-to-remain-mixed-11727769457966.html,livemint.com,2024-10-01T15:15:00+05:30,2024-10-01,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q2/FY25 earnings, financial performance, client deals, order wins, hiring, leadership, or dividend."
20241001111500-928,TCS.NS,"IITian who gave up TCS job to join civil services, shares his TCS offer letter from June 1989",https://timesofindia.indiatimes.com/technology/social/iitian-who-gave-up-tcs-job-to-join-civil-services-shares-his-tcs-offer-letter-from-june-1989/articleshow/113844619.cms,https://timesofindia.indiatimes.com/technology/social/iitian-who-gave-up-tcs-job-to-join-civil-services-shares-his-tcs-offer-letter-from-june-1989/articleshow/113844619.cms,indiatimes.com,2024-10-01T16:45:00+05:30,2024-10-03,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q2/FY25 earnings, financial performance, client deals, order wins, hiring, leadership, or dividend."
20241001111500-525,TCS.NS,Bureaucrat shares 40-year-old appointment letter from TCS Mumbai. His 'princely salary' was...,https://www.moneycontrol.com/news/trends/bureaucrat-shares-40-year-old-appointment-letter-from-tcs-mumbai-his-princely-salary-was-12833400.html,https://www.moneycontrol.com/news/trends/bureaucrat-shares-40-year-old-appointment-letter-from-tcs-mumbai-his-princely-salary-was-12833400.html,moneycontrol.com,2024-10-01T16:45:00+05:30,2024-10-03,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q2/FY25 earnings, financial performance, client deals, order wins, hiring, leadership, or dividend."
20241002171500-313,TCS.NS,Guaranteeing safety and innovation in industrialised construction: ETAs and TCs,https://www.tecnalia.com/en/news/guaranteeing-safety-and-innovation-in-industrialised-construction-etas-and-tcs,https://www.tecnalia.com/en/news/guaranteeing-safety-and-innovation-in-industrialised-construction-etas-and-tcs,tecnalia.com,2024-10-02T22:45:00+05:30,2024-10-03,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q2/FY25 earnings, financial performance, client deals, order wins, hiring, leadership, or dividend."
20241003070000-1163,TCS.NS,"TCS, Infosys, HCL Tech, Coforge, KPIT Tech & LTIM: Brokerage views in IT stocks ahead of Q2 earnings",https://www.businesstoday.in/markets/story/tcs-infosys-hcl-tech-coforge-kpit-tech-ltim-brokerage-views-in-it-stocks-ahead-of-q2-earnings-448499-2024-10-03,https://www.businesstoday.in/markets/story/tcs-infosys-hcl-tech-coforge-kpit-tech-ltim-brokerage-views-in-it-stocks-ahead-of-q2-earnings-448499-2024-10-03,businesstoday.in,2024-10-03T12:30:00+05:30,2024-10-03,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q2/FY25 earnings, financial performance, client deals, order wins, hiring, leadership, or dividend."
