GKGRECORDID,DATE,page_title,url,source,rejection_reason
20240102123000-1182,20240102123000,Sensex falls 379 pts on profit taking in bank & IT stocks,https://www.rediff.com/business/report/sensex-falls-379-pts-on-profit-taking-in-bank--it-stocks/20240102.htm,rediff.com,MATCHER_REJECTED
20240102124500-326,20240102124500,"Sensex falls 379 pts on profit-taking in bank & IT stocks, foreign fund outflows",https://www.thehindubusinessline.com/markets/sensex-falls-379-pts-on-profit-taking-in-bank-it-stocks-foreign-fund-outflows/article67698161.ece,thehindubusinessline.com,MATCHER_REJECTED
20240102124500-1412,20240102124500,"Sensex, Nifty End Lower As Oil Prices Surge On Supply Fears",https://www.rttnews.com/3414144/sensex-nifty-end-lower-as-oil-prices-surge-on-supply-fears.aspx,rttnews.com,MATCHER_REJECTED
20240102131500-755,20240102131500,"Sensex Falls 379.46 Points To Settle At 71,892.48; Nifty Declines 76.10 Points To 21,665.80",https://zeenews.india.com/markets/sensex-falls-379-46-points-to-settle-at-71892-48-nifty-declines-76-10-points-to-21665-80-2705362.html,india.com,MATCHER_REJECTED
20240102143000-1179,20240102143000,"Sensex, Nifty End Lower As Oil Prices Surge On Supply Fears",https://www.rttnews.com/story.aspx?Id=3414144,rttnews.com,MATCHER_REJECTED
20240102183000-1802,20240102183000,Sensex falls 379 pts on profit taking in bank & IT stocks,https://thenorthlines.com/sensex-falls-379-pts-on-profit-taking-in-bank-it-stocks/,thenorthlines.com,MATCHER_REJECTED
20240102193000-1539,20240102193000,Aramco Close To Awarding $5 Billion Deals for World's Biggest Offshore Oilfield,https://oilprice.com/Latest-Energy-News/World-News/Aramco-Close-To-Awarding-5-Billion-Deals-for-Worlds-Biggest-Offshore-Oilfield.html,oilprice.com,MATCHER_REJECTED
20240103003000-1548,20240103003000,"Sensex falls 379 pts on profit taking in bank & IT stocks, foreign fund outflows",https://www.dailyexcelsior.com/sensex-falls-379-pts-on-profit-taking-in-bank-it-stocks-foreign-fund-outflows/,dailyexcelsior.com,MATCHER_REJECTED
20240104051500-924,20240104051500,Kolkata Metro | Construction on airport-Barasat Metro corridor has been stalled for months as it hits crane hurdle,https://www.telegraphindia.com/feeds/my-kolkata/news/construction-on-airport-barasat-metro-corridor-has-been-stalled-for-months-as-it-hits-crane-hurdle/cid/1991361,telegraphindia.com,MATCHER_REJECTED
20240104073000-766,20240104073000,Kolkata Metro | Construction on airport-Barasat Metro corridor has been stalled for months as it hits crane hurdle,https://www.telegraphindia.com/my-kolkata/news/construction-on-airport-barasat-metro-corridor-has-been-stalled-for-months-as-it-hits-crane-hurdle/cid/1991361,telegraphindia.com,MATCHER_REJECTED
20240104083000-274,20240104083000,Farmers Edge And LTIMindtree Unveil FEIL In Mumbai A Pioneering Agricultural Innovation Hub Redefining Farming In India,https://www.foodonline.com/doc/farmers-edge-ltimindtree-agricultural-innovation-hub-redefining-farming-in-india-0001,foodonline.com,MATCHER_REJECTED
20240104100000-1085,20240104100000,LTIMindtree Integrates Syncordis and Nielsen+Partner to Form Banking Transformation Practice,https://www.marketscreener.com/quote/stock/LTIMINDTREE-LIMITED-31496899/news/LTIMindtree-Integrates-Syncordis-and-Nielsen-Partner-to-Form-Banking-Transformation-Practice-45671928/,marketscreener.com,MATCHER_REJECTED
20240104100000-1032,20240104100000,"45 companies buy back Rs 48,000-cr shares in one year",https://www.moneycontrol.com/news/business/markets/45-companies-buy-back-rs-48000-cr-shares-in-one-year-11998481.html,moneycontrol.com,MATCHER_REJECTED
20240104103000-651,20240104103000,LTIMindtree Integrates Syncordis and Nielsen+Partner to Form Banking Transformation Practice,https://www.finanznachrichten.de/nachrichten-2024-01/61056774-ltimindtree-integrates-syncordis-and-nielsen-partner-to-form-banking-transformation-practice-004.htm,finanznachrichten.de,MATCHER_REJECTED
20240104103000-1059,20240104103000,LTIMindtree Integrates Syncordis and Nielsen+Partner to Form Banking Transformation Practice,https://www.lelezard.com/en/news-21205230.html,lelezard.com,MATCHER_REJECTED
20240105060000-131,20240105060000,"Nifty target at 24,260; any fall a buying opportunity, says Nomura as it picks RIL, ICICI Bank, M&M shares as top buys",https://www.businesstoday.in/markets/trending-stocks/story/nifty-target-at-24260-any-fall-a-buying-opportunity-says-nomura-as-it-picks-ril-icici-bank-mm-shares-as-top-buys-411974-2024-01-05,businesstoday.in,MATCHER_REJECTED
20240105110000-261,20240105110000,Stock Market Sectors: Stock market update: Mining stocks  down  as market  rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-down-as-market-rises/articleshow/106574079.cms,indiatimes.com,MATCHER_REJECTED
20240105111500-118,20240105111500,Stock Market Sectors: Stock market update: Fertilisers stocks  down  as market  rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-down-as-market-rises/articleshow/106574767.cms,indiatimes.com,MATCHER_REJECTED
20240105111500-538,20240105111500,Stock Market Sectors: Stock market update: Power stocks  up  as market  rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-rises/articleshow/106574882.cms,indiatimes.com,MATCHER_REJECTED
20240105113000-449,20240105113000,Stock Market Sectors: Stock market update: FMCG stocks  down  as market  rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fmcg-stocks-down-as-market-rises/articleshow/106575302.cms,indiatimes.com,MATCHER_REJECTED
20240105113000-657,20240105113000,Stock Market Sectors: Stock market update: Sugar stocks  up  as market  rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-rises/articleshow/106575135.cms,indiatimes.com,MATCHER_REJECTED
20240105113000-455,20240105113000,"Jefferies' Chris Wood ups weighting of Adani Ports, SBI in long-only portfolio. See the details here",https://www.businesstoday.in/markets/stock-picks/story/jefferies-chris-wood-ups-weighting-of-adani-ports-sbi-in-long-only-portfolio-see-the-details-here-412045-2024-01-05,businesstoday.in,MATCHER_REJECTED
20240105113000-38,20240105113000,Markets extend gains for second session on fresh foreign fund inflows; IT stocks shine,https://www.theweek.in/news/biz-tech/2024/01/05/markets-extend-gains-for-second-session-on-fresh-foreign-fund-inflows-it-stocks-shine.html,theweek.in,MATCHER_REJECTED
20240105113000-1266,20240105113000,Markets extend gains for 2nd session on fresh foreign fund inflows IT stocks shine,https://www.theweek.in/wire-updates/business/2024/01/05/del48-biz-stocks-close.html,theweek.in,MATCHER_REJECTED
20240105113000-479,20240105113000,Markets extend gains for second session on fresh foreign fund inflows; IT stocks shine,https://www.orissapost.com/markets-extend-gains-for-second-session-on-fresh-foreign-fund-inflows-it-stocks-shine/,orissapost.com,MATCHER_REJECTED
20240105113000-135,20240105113000,The 32 steps to Ram Lalla: A spiritual experience in Ayodhya,https://timesofindia.indiatimes.com/city/lucknow/the-32-steps-to-ram-lalla-a-spiritual-experience-in-ayodhya-temple/photostory/106571151.cms,indiatimes.com,MATCHER_REJECTED
20240105113000-789,20240105113000,"Stock market today: Sensex, Nifty 50 close higher for second straight session",https://www.livemint.com/market/stock-market-news/stock-market-today-sensex-nifty-50-close-higher-for-second-straight-session-it-stocks-shine-11704448610458.html,livemint.com,MATCHER_REJECTED
20240105113000-240,20240105113000,"Sensex reclaims 72,000-levels, Nifty above 21,700; Adani Ports and L&Trises 3%",https://www.businesstoday.in/markets/market-commentary/story/sensex-reclaims-72000-levels-nifty-above-21700-adani-ports-and-ltrises-3-412051-2024-01-05,businesstoday.in,MATCHER_REJECTED
20240105120000-357,20240105120000,Sensex gains 179 points to cross 72K; IT stocks shine,https://www.rediff.com/business/report/sensex-gains-179-points-to-cross-72k-it-stocks-shine/20240105.htm,rediff.com,MATCHER_REJECTED
20240105121500-116,20240105121500,active stocks: Share market update: Most active stocks of the day in terms of traded value,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-traded-value/articleshow/106576509.cms,indiatimes.com,MATCHER_REJECTED
20240105121500-1218,20240105121500,Markets extend gains for 2nd session on fresh foreign fund inflows; IT stocks shine,https://indianexpress.com/article/business/markets-extend-gains-foreign-fund-inflows-it-stocks-shine-9096758/,indianexpress.com,MATCHER_REJECTED
20240105123000-319,20240105123000,Markets extend gains for second session on fresh foreign fund inflows; IT stocks shine,https://www.thehindu.com/business/markets/markets-extend-gains-for-second-session-on-fresh-foreign-fund-inflows-it-stocks-shine/article67709519.ece,thehindu.com,MATCHER_REJECTED
20240105123000-427,20240105123000,"Sensex, Nifty End Higher Ahead Of GDP Data",https://www.rttnews.com/story.aspx?Id=3414913,rttnews.com,MATCHER_REJECTED
20240105131500-969,20240105131500,"Sensex, Nifty record gains for 2nd day in row despite weak global cues",https://www.prokerala.com/news/articles/a1494145.html,prokerala.com,MATCHER_REJECTED
20240105133000-43,20240105133000,Stock market | Markets extend gains for second session on fresh foreign fund inflows; IT stocks shine,https://www.telegraphindia.com/feeds/business/markets-extend-gains-for-second-session-on-fresh-foreign-fund-inflows-it-stocks-shine/cid/1991801,telegraphindia.com,MATCHER_REJECTED
20240105140000-1177,20240105140000,"Sensex, Nifty End Higher Ahead Of GDP Data",https://www.rttnews.com/3414913/sensex-nifty-end-higher-ahead-of-gdp-data.aspx,rttnews.com,MATCHER_REJECTED
20240105141500-775,20240105141500,Stock market | Markets extend gains for second session on fresh foreign fund inflows; IT stocks shine,https://www.telegraphindia.com/business/markets-extend-gains-for-second-session-on-fresh-foreign-fund-inflows-it-stocks-shine/cid/1991801,telegraphindia.com,MATCHER_REJECTED
20240105141500-1162,20240105141500,"Sensex, Nifty record gains for second day in row despite weak global cues (Ld)",https://www.prokerala.com/news/articles/a1494157.html,prokerala.com,MATCHER_REJECTED
20240105150000-1344,20240105150000,Markets extend gains for 2nd session on fresh foreign fund inflows; IT stocks shine,https://www.tribuneindia.com/news/business/markets-extend-gains-for-2nd-session-on-fresh-foreign-fund-inflows-it-stocks-shine-578523,tribuneindia.com,MATCHER_REJECTED
20240105151500-646,20240105151500,"Sensex, Nifty Record Gains For 2Nd Day In Row Despite Weak Global Cues",https://menafn.com/1107688123/Sensex-Nifty-Record-Gains-For-2Nd-Day-In-Row-Despite-Weak-Global-Cues,menafn.com,MATCHER_REJECTED
20240105151500-1120,20240105151500,"Sensex, Nifty Record Gains For Second Day In Row Despite Weak Global Cues (Ld)",https://menafn.com/1107688227/Sensex-Nifty-Record-Gains-For-Second-Day-In-Row-Despite-Weak-Global-Cues-Ld,menafn.com,MATCHER_REJECTED
20240105163000-183,20240105163000,Why this ELSS Fund is a Must-Have Investment For Saving Taxes,https://www.thehindubusinessline.com/portfolio/mutual-funds/why-this-elss-fund-is-a-must-have-investment-for-saving-taxes/article67705935.ece,thehindubusinessline.com,MATCHER_REJECTED
20240105183000-1834,20240105183000,AI Infrastructure Market Progressive Impacts On The Universal,https://www.openpr.com/news/3344560/ai-infrastructure-market-progressive-impacts-on-the-universal,openpr.com,MATCHER_REJECTED
20240106044500-727,20240106044500,"Tata Steel, ONGC, DRL, BPCL, Maruti: Nifty at record high but these stocks lie at deep discount to historical averages",https://www.businesstoday.in/markets/stocks/story/tata-steel-ongc-drl-bpcl-maruti-nifty-at-record-high-but-these-stocks-lie-at-deep-discount-to-historical-averages-412101-2024-01-06,businesstoday.in,MATCHER_REJECTED
20240106044500-695,20240106044500,Meet IIT Delhi graduate who quit high-paying corporate job to become saint at 28 due to...,https://www.dnaindia.com/education/report-meet-iit-delhi-graduate-sandeep-kumar-bhatt-who-quit-high-paying-job-become-saint-sundar-gopal-das-28-due-to-3073646,dnaindia.com,MATCHER_REJECTED
20240106193000-827,20240106193000,India Inc: India Inc acquires right expat-ise to scale new growth,https://economictimes.indiatimes.com/jobs/c-suite/india-inc-acquires-right-expat-ise-to-scale-new-growth/articleshow/106602381.cms,indiatimes.com,MATCHER_REJECTED
20240107020000-640,20240107020000,India Inc Acquires Right Expat-ise to Scale New Growth,https://economictimes.indiatimes.com/epaper/delhicapital/2024/jan/07/sunet-front/india-inc-acquires-right-expat-ise-to-scale-new-growth/articleshow/106603056.cms,indiatimes.com,MATCHER_REJECTED
20240107131500-427,20240107131500,"Supreme Court Asks Central Pollution Control Board To Examine Issue Of Pollution By Stone Crushing Units, Calls For Report",https://www.livelaw.in/top-stories/supreme-court-central-pollution-control-board-file-report-stone-crushing-units-246068,livelaw.in,MATCHER_REJECTED
20240107133000-659,20240107133000,Blackstone-backed Nexus Select Trust circles R City Mall in Mumbai,https://www.thehindubusinessline.com/companies/blackstone-backed-nexus-select-trust-circles-r-city-mall-in-mumbai/article67715705.ece,thehindubusinessline.com,MATCHER_REJECTED
20240108081500-1034,20240108081500,"Stocks To Watch: Sensex Rises 100 pts; Nifty Above 21,700; Sula Vineyards Surges 7%",https://www.news18.com/business/stocks-to-watch-sensex-rises-100-pts-nifty-above-21700-sula-vineyards-surges-7-8731697.html,news18.com,MATCHER_REJECTED
20240108101500-790,20240108101500,motilal oswal portfolio tweaks: Motilal Oswal tweaks model portfolio ahead of Q3FY24 earnings. Here's what changed,https://economictimes.indiatimes.com/markets/stocks/news/motilal-oswal-tweaks-model-portfolio-ahead-of-q3fy24-earnings-heres-what-changed/articleshow/106634925.cms,indiatimes.com,MATCHER_REJECTED
20240108164500-449,20240108164500,"DRDO anti-drone tech ready, handed over to BEL, private firms",https://www.thehindu.com/news/national/drdo-anti-drone-tech-ready-handed-over-to-bel-private-firms/article67716451.ece,thehindu.com,MATCHER_REJECTED
20240109043000-549,20240109043000,"sensex today: Sensex soars 500 points, Nifty tops 21,650 led by gains in IT and auto stocks",https://economictimes.indiatimes.com/markets/stocks/news/sensex-soars-500-points-nifty-tops-21650-led-by-gains-in-it-and-auto-stocks/articleshow/106653366.cms,indiatimes.com,MATCHER_REJECTED
