ticker,base_acc,base_prec,base_f1,filt_acc,filt_prec,filt_f1,meta_threshold,trades,total_test
RELIANCE.NS,0.6833855799373041,0.7169582183546276,0.4073632532485723,0.8268156424581006,0.72504020653462,0.3366261808367071,0.75,179,319
TCS.NS,0.44200626959247646,0.6526777234906401,0.32315723083489584,0.8316831683168316,0.7224722472247225,0.3027027027027027,0.7,101,319
HDFCBANK.NS,0.6990595611285266,0.7708145157005473,0.41126615547186174,0.8897058823529411,0.7915765570934256,0.3138780804150454,0.75,136,319
ICICIBANK.NS,0.786833855799373,0.7444072670313209,0.34605466735430634,0.8106060606060606,0.738936988936989,0.35499058380414317,0.8499999999999999,132,319
INFY.NS,0.41379310344827586,0.5801443722484568,0.3075471375286589,0.6911764705882353,0.502673796791444,0.27485380116959063,0.75,68,319
HINDUNILVR.NS,0.7115987460815048,0.7219752262364036,0.3494490828257369,0.7842105263157895,0.6965892384592766,0.2938856015779093,0.7999999999999999,190,319
ITC.NS,0.7272727272727273,0.7862663737124944,0.35821353809782824,0.7848101265822784,0.7522855133614627,0.38304213771839674,0.75,158,319
SBIN.NS,0.6614420062695925,0.6993982279118663,0.3649368716696853,0.864406779661017,0.7471990807239299,0.3090909090909091,0.75,59,319
BHARTIARTL.NS,0.6520376175548589,0.6393685903804306,0.3435632555909129,0.7777777777777778,0.6049382716049383,0.2916666666666667,0.75,99,319
KOTAKBANK.NS,0.6238244514106583,0.6555421295628336,0.31495224638856073,0.852112676056338,0.7260960126958936,0.30671736375158426,0.7999999999999999,142,319
LT.NS,0.5830721003134797,0.7362869536547095,0.3893333333333333,0.8392857142857143,0.7044005102040816,0.3042071197411003,0.75,56,319
AXISBANK.NS,0.6489028213166145,0.6037365253760728,0.33868464722011865,0.8173076923076923,0.6679918639053254,0.2998236331569665,0.7999999999999999,104,319
ASIANPAINT.NS,0.6175548589341693,0.6368709778010875,0.3119925389510643,0.7870967741935484,0.6664086021505377,0.29362214199759323,0.7999999999999999,155,319
MARUTI.NS,0.6112852664576802,0.6065555563337792,0.35409582985551435,0.7272727272727273,0.5289256198347108,0.2807017543859649,0.8499999999999999,77,319
TITAN.NS,0.6394984326018809,0.6808614582909255,0.31410596528462065,0.801980198019802,0.6723672367236724,0.2967032967032967,0.75,101,319
BAJFINANCE.NS,0.5141065830721003,0.5320163954451462,0.34270862667793106,0.6697247706422018,0.5957749879285369,0.3333416875522139,0.75,109,319
SUNPHARMA.NS,0.658307210031348,0.7489492106779875,0.36511406019602743,0.8715083798882681,0.7779566328946123,0.31044776119402984,0.75,179,319
HCLTECH.NS,0.43573667711598746,0.563160021031754,0.2898945613971521,0.7115384615384616,0.6417102315160569,0.3181818181818182,0.7,104,319
TATASTEEL.NS,0.6050156739811913,0.5580381056828879,0.3457343613978361,0.6947368421052632,0.4826592797783934,0.2732919254658385,0.75,95,319
NTPC.NS,0.7931034482758621,0.7029209657663642,0.34201445055537577,0.7435897435897436,0.5674763832658569,0.2885572139303482,0.75,39,319
